"Id","OwnerId","IsDeleted","Name","nFORCE__App__c","nFORCE__Body_Type__c","nFORCE__Body__c","nFORCE__Description__c","nFORCE__Group__c","nFORCE__Icon_Class__c","nFORCE__Is_Hidden__c","nFORCE__Navigation__c","nFORCE__Order__c","nFORCE__Parameters__c","nFORCE__Parent_App__c","nFORCE__Screen__c","nFORCE__Sub_Navigation__c","nFORCE__Taxonomy_Id__c","nFORCE__Toolbar__c","nFORCE__Topbar__c","nFORCE__lookupKey__c"
"a0mWD000003RDywYAG","005al00000RVcKvAAL","false","Review Detail","pp-tn-review-detail-m","Lightning Web Component","nforce__ncdatagrid","","","","false","nforce__navigation","","","","a0sWD00000Xo7lCYAR","nforce__sub_navigation","pp-tn-review-detail-m","","nforce__topbar","42280836593795200"
"a0mWD000003RDUOYA4","005al00000RVcKvAAL","false","Business Review","business-review","","nforce__kodatagrid","","","n-icon-loan","false","nforce__navigation","","","","a0sWD00000Xo7aAYAR","nforce__sub_navigation","","","nforce__topbar","42283447999981430"
"a0mWD000003RDyyYAG","005al00000RVcKvAAL","false","Application","heloc-loan-detail","","nretail__applicationdetails","","","n-icon-loan","false","nFORCE__navigation","","","","a0sWD00000Xo7lDYAR","nFORCE__Blank","heloc-loan-detail","","nretail__summaryheadertopbar","42283553070953700"
"a0mWD000003RDz0YAG","005al00000RVcKvAAL","false","System Properties","tool-system-property-editor","","nforce__system_property_editor_app","","","n-icon-settings","false","nforce__navigation","","","","a0sWD00000Xo7lEYAR","nforce__sub_navigation","tool-system-property-editor","","nforce__topbar","42288198994505400"
"a0mWD000003RDUQYA4","005al00000RVcKvAAL","false","Lease Details","lease-details","","nforce__kodatagrid","","","n-icon-loan","false","nforce__navigation","","","","a0sWD00000Xo7aBYAR","nforce__sub_navigation","","","nforce__topbar","42289079350060038"
"a0mWD000003RDz1YAG","005al00000RVcKvAAL","false","Draws & Disbursements","draw-disbursements","","llc_bi__draw_history_app","","","","false","nforce__navigation","","","","a0sWD00000Xo7lFYAR","nforce__sub_navigation","draw-disbursements","","nforce__topbar","42290329299160500"
"a0mWD000003RDURYA4","005al00000RVcKvAAL","false","Opportunities","relationship-opportunity","","nforce__ncrelatedlist","","","n-icon-more","false","nforce__inline_navigation","","","","a0sWD00000Xo7aTYAR","nforce__sub_navigation","relationship-opportunity","","nforce__topbar","42294392440851000"
"a0mWD000003RDUTYA4","005al00000RVcKvAAL","false","Rate Details","pc-deposit-rate","","nforce__ncrelatedlist","","","","false","nforce__navigation","","","","a0sWD00000Xo7bKYAR","nforce__sub_navigation","","","nforce__topbar","42299252769234781"
"a0mWD000003RDUVYA4","005al00000RVcKvAAL","false","Business Type","sba-form-19202","","nforce__kodatagrid","","","n-icon-misc5","false","nforce__navigation","","","","a0sWD00000Xo7YVYAZ","nforce__sub_navigation","","","nforce__topbar","42302278071476816"
"a0mWD000003RDUXYA4","005al00000RVcKvAAL","false","Referrals","relationship-referral-information","","nforce__ncrelatedlist","","","n-icon-referral","false","nforce__inline_navigation","","","","a0sWD00000Xo7aWYAR","nforce__sub_navigation","relationship-referral-information","","nforce__topbar","42309221871985500"
"a0mWD000003RDUZYA4","005al00000RVcKvAAL","false","Collateral Summary","collateral-summary","","nforce__kogridlist","","","n-icon-collateral","false","nforce__navigation","","","","a0sWD00000Xo7a5YAB","nforce__sub_navigation","","","nforce__topbar","4231113141032653"
"a0mWD000003RDnuYAG","005al00000RVcKvAAL","false","Loan Information","loan-detail-m-loe-conventional","","nforce__ncdatagrid","","","n-icon-loan","false","nforce__navigation","","","","a0sWD00000Xo7dyYAB","nforce__sub_navigation","","","nforce__topbar","42311196919645286"
"a0mWD000003RDUaYAO","005al00000RVcKvAAL","false","SBA Express Loan Authorization","sba-express-loan-authorization","","nforce__kodatagrid","","","n-icon-misc5","false","nforce__navigation","","","","a0sWD00000Xo7YSYAZ","nforce__sub_navigation","","","nforce__topbar","42314045774364294"
"a0mWD000003RDzBYAW","005al00000RVcKvAAL","false","Product Package Details","dashboard-pp-sn-details","Lightning Web Component","nforce__ncdatagrid","","","","false","nforce__navigation","","","","a0sWD00000Xo7jyYAB","nforce__sub_navigation","dashboard-pp-sn-details","","nforce__topbar","42314518821945900"
"a0mWD000003RDzCYAW","005al00000RVcKvAAL","false","Business Acquisition","sba-form-19204-m","Lightning Web Component","nforce__ncdatagrid","","","n-icon-misc5","false","nforce__navigation","","","","a0sWD00000Xo7aqYAB","nforce__sub_navigation","sba-form-19204-m","","nforce__topbar","42314911746926700"
"a0mWD000003RDkrYAG","005al00000RVcKvAAL","false","Eligibility","sbl-secured-eligibility2","Visualforce Page","NPORTAL__PortalForm","","","","false","NPORTAL__ApplicationNavigation","","","","a0sWD00000Xo7cOYAR","","sbl-secured-eligibility2","","NPORTAL__LoanTopbar","42316219097755092"
"a0mWD000003RDzEYAW","005al00000RVcKvAAL","false","Borrowing Structure","borrowing-structure-m","","llc_bi__multitierinvolvement","","","n-icon-relationship","false","nforce__navigation","","","","a0sWD00000Xo7lGYAR","nforce__sub_navigation","borrowing-structure-m","","nforce__topbar","42317342979000400"
"a0mWD000003RDzKYAW","005al00000RVcKvAAL","false","Memo Details","memo-details","","llc_bi__memo_details","","","","false","nforce__navigation","","","","a0sWD00000Xo7lHYAR","nforce__sub_navigation","memo-details","","llc_bi__nctopbar","42333010438379100"
"a0mWD000003RDnwYAG","005al00000RVcKvAAL","false","Insurance","booked-Insurance-editable-lob-pwc","","nforce__ncdatagrid","","","","false","nforce__navigation","","","","a0sWD00000Xo7eLYAR","nforce__sub_navigation","","","nforce__topbar","42334071771566887"
"a0mWD000003RDUfYAO","005al00000RVcKvAAL","false","Loan Details","application-loan-details","","nforce__korelatedtable","","","","false","nFORCE__Navigation","","","","a0sWD00000Xo7bDYAR","nFORCE__Sub_Navigation","","","nFORCE__Topbar","42335230333081623"
"a0mWD000003RDUiYAO","005al00000RVcKvAAL","false","Booked Details","loan-detail-booked","","nforce__ncdatagrid","","","n-icon-loan","false","nforce__navigation","","","","a0sWD00000Xo7m8YAB","nforce__sub_navigation","loan-detail-booked","","nforce__topbar","42336795324258800"
