"Id","IsDeleted","Name","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Filter_Criteria__c","nFORCE__Layout__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c"
"a0vWE00000FWt0JYAT","false","SC-000021992","a0qWE00000USgmmYAD","0.0","LLC_BI__UI_Loan_Pricing_Information","","","","false","","","Pricing","","false","1033","LLC_BI__Loan__c"
"a0vWE00000FWt0KYAT","false","SC-000021993","a0qWE00000USgmlYAD","1.01","","","","","false","","","Loan Application","","false","1037","LLC_BI__Loan__c"
"a0vWE00000FWswcYAD","false","SC-000022257","a0qWE00000USgmlYAD","2.01","nSBA__SBA_Principal","","","","false","a0vWE00000FWt0KYAT","LLC_BI__Application__r","Loan Application","","false","1038","LLC_BI__Application__c"
"a0vWE00000FWt0LYAT","false","SC-000021994","a0qWE00000USgmMYAT","1.01","nSBA__SBA_Application","","","","false","","","Application Information","","false","1043","LLC_BI__Loan__c"
"a0vWE00000FWt0MYAT","false","SC-000021995","a0qWE00000USgmgYAD","1.01","nSBA__SBA_Application_Loan_Pkg","","","","false","","","Loan Packager Information","","false","1044","LLC_BI__Loan__c"
"a0vWE00000FWt0NYAT","false","SC-000021996","a0qWE00000USgmpYAD","1.01","nSBA__SBA_Form_159_Primary_Account","","","","false","","","Primary Account","","false","1045","LLC_BI__Loan__c"
"a0vWE00000FWt0OYAT","false","SC-000021997","a0qWE00000USgmLYAT","1.01","nSBA__SBA_Form_159","","","","false","","","SBA Form 159","","false","1046","LLC_BI__Loan__c"
"a0vWE00000FWt0PYAT","false","SC-000021998","a0qWE00000USgmcYAD","2.01","nSBA__Form_159_Lender","","","","false","","","SBA Form 159","","false","1047","LLC_BI__Loan__c"
"a0vWE00000FWt0QYAT","false","SC-000021999","a0qWE00000USgmzYAD","1.01","nSBA__SBA_912_Primary_Applicant","","","","false","","","SBA Form 912","","false","1048","LLC_BI__Loan__c"
"a0vWE00000FWt0RYAT","false","SC-000022000","a0qWE00000USgmfYAD","1.01","nSBA__SBA_Form_G845","","","","false","","","Loan Officer Details","","false","1049","LLC_BI__Loan__c"
"a0vWE00000FWt0SYAT","false","SC-000022001","a0qWE00000USgmyYAD","0.01","nSBA__SBA_Form_1920","","","","false","","","SBA Form 1920","","false","1050","LLC_BI__Loan__c"
"a0vWE00000FWt0TYAT","false","SC-000022002","a0qWE00000USgmXYAT","1.01","nSBA__SBA_Form_1920_Eligibility","","","","false","","","Eligibility","","false","1051","LLC_BI__Loan__c"
"a0vWE00000FWt0UYAT","false","SC-000022003","a0qWE00000USgmQYAT","2.01","nSBA__SBA_Form_1920_Bus_Type","","","","false","","","Business Type","","false","1052","LLC_BI__Loan__c"
"a0vWE00000FWt0VYAT","false","SC-000022004","a0qWE00000USgmtYAD","3.01","nSBA__SBA_Form_1920_Refinance","","","","false","","","Refinancing Information","","false","1053","LLC_BI__Loan__c"
"a0vWE00000FWt0WYAT","false","SC-000022005","a0qWE00000USgmOYAT","4.01","nSBA__SBA_Form_1920_Business_Ac","","","","false","","","Business Acquisition","","false","1054","LLC_BI__Loan__c"
"a0vWE00000FWt0XYAT","false","SC-000022006","a0qWE00000USgmYYAT","5.01","nSBA__SBA_Form_1920_EPCOC","","","","false","","","EPCOC","","false","1055","LLC_BI__Loan__c"
"a0vWE00000FWt0YYAT","false","SC-000022007","a0qWE00000USgn2YAD","6.01","nSBA__SBA_Form_1920_Special_Programs","","","","false","","","Special Programs","","false","1056","LLC_BI__Loan__c"
"a0vWE00000FWt0ZYAT","false","SC-000022008","a0qWE00000USgmJYAT","1.01","","","","","false","","","Relationship","","false","1057","LLC_BI__Loan__c"
"a0vWE00000FWswdYAD","false","SC-000022258","a0qWE00000USgmJYAT","2.01","nSBA__SBA_Form_1920_Primary_Account","","","","false","a0vWE00000FWt0ZYAT","LLC_BI__Account__r","","","false","1058","Account"
"a0vWE00000FWt0aYAD","false","SC-000022009","a0qWE00000USgmIYAT","1.01","","","","","false","","","Account Debt","","false","1062","LLC_BI__Loan__c"
"a0vWE00000FWsweYAD","false","SC-000022259","a0qWE00000USgmIYAT","2.01","","","","","false","a0vWE00000FWt0aYAD","LLC_BI__Account__r","","","false","1063","Account"
"a0vWE00000G4dRVYAZ","false","SC-000022657","a0qWE00000USgmIYAT","3.01","nSBA__Form_1920_Account_Debt","","","","false","a0vWE00000FWsweYAD","nSBA__Account_Debt__r","","","false","1064","nSBA__Account_Debt__c"
"a0vWE00000FWt0bYAD","false","SC-000022010","a0qWE00000USgmvYAD","3.01","nSBA__SBA_Form_10","","","","false","","","SBA Form 10","","false","1065","LLC_BI__Loan__c"
"a0vWE00000FWt0cYAD","false","SC-000022011","a0qWE00000USgmwYAD","3.01","nSBA__SBA_Form_1846","","","","false","","","SBA Form 1846","","false","1066","LLC_BI__Loan__c"
"a0vWE00000FWt0dYAD","false","SC-000022012","a0qWE00000USgmoYAD","3.01","nSBA__SBA_Form_652_Primary_Account","","","","false","","","SBA Form 652","","false","1067","LLC_BI__Loan__c"
"a0vWE00000FWt0eYAD","false","SC-000022013","a0qWE00000USgmZYAT","3.01","nSBA__SBA_Form_652","","","","false","","","SBA Form 652","","false","1068","LLC_BI__Loan__c"
"a0vWE00000FWt0fYAD","false","SC-000022014","a0qWE00000USgn5YAD","1.01","nSBA__SBA_1919_Type_of_Business","","","","false","","","SBA Form 1919","","false","1069","LLC_BI__Loan__c"
"a0vWE00000FWt0gYAD","false","SC-000022015","a0qWE00000USgmqYAD","1.01","nSBA__SBA_1919_Prior_Government_Guaranteed_Loa","","","","false","","","SBA Form 1919","","false","1070","LLC_BI__Loan__c"
"a0vWE00000FWt0hYAD","false","SC-000022016","a0qWE00000USgmTYAT","1.01","nSBA__SBA_1919_Conflict","","","","false","","","SBA Form 1919","","false","1071","LLC_BI__Loan__c"
"a0vWE00000FWt0iYAD","false","SC-000022017","a0qWE00000USgmnYAD","1.01","","","","","false","","","Relationship","","false","1072","LLC_BI__Loan__c"
"a0vWE00000FWswfYAD","false","SC-000022260","a0qWE00000USgmnYAD","2.01","nSBA__SBA_Form_1919_Primary_Account","","","","false","a0vWE00000FWt0iYAD","LLC_BI__Account__r","","","false","1073","Account"
"a0vWE00000FWt0jYAD","false","SC-000022018","a0qWE00000USgmxYAD","1.01","nSBA__SBA_1919_Jobs","","","","false","","","Relationship","","false","1077","LLC_BI__Loan__c"
"a0vWE00000FWt0kYAD","false","SC-000022019","a0qWE00000USgn6YAD","1.01","","","","","false","","","Relationship","","false","1078","LLC_BI__Loan__c"
"a0vWE00000FWswgYAD","false","SC-000022261","a0qWE00000USgn6YAD","2.01","","","","","false","a0vWE00000FWt0kYAD","LLC_BI__Application__r","","","false","1079","LLC_BI__Application__c"
"a0vWE00000G4dRWYAZ","false","SC-000022658","a0qWE00000USgn6YAD","3.01","nSBA__SBA_Use","","","","false","a0vWE00000FWswgYAD","nSBA__Use_Of_Proceeds__r","Use of Proceeds","","false","1080","nSBA__Use_Of_Proceeds__c"
"a0vWE00000FWt0lYAD","false","SC-000022020","a0qWE00000USgmbYAD","1.01","","","","","false","","","Relationship","","false","1081","LLC_BI__Loan__c"
"a0vWE00000FWswhYAD","false","SC-000022262","a0qWE00000USgmbYAD","2.01","","","","","false","a0vWE00000FWt0lYAD","LLC_BI__Application__r","","","false","1082","LLC_BI__Application__c"
"a0vWE00000G4dRXYAZ","false","SC-000022659","a0qWE00000USgmbYAD","3.01","nSBA__SBA_Injections","","","","false","a0vWE00000FWswhYAD","nSBA__Application_Injections__r","Use of Proceeds","","false","1083","nSBA__Injections__c"
"a0vWE00000FWt0mYAD","false","SC-000022021","a0qWE00000USgmRYAT","1.01","","","","","false","","","Change of Ownership","","false","1084","LLC_BI__Loan__c"
"a0vWE00000FWswiYAD","false","SC-000022263","a0qWE00000USgmRYAT","2.01","","","","","false","a0vWE00000FWt0mYAD","LLC_BI__Application__r","","","false","1085","LLC_BI__Application__c"
"a0vWE00000G4dRYYAZ","false","SC-000022660","a0qWE00000USgmRYAT","3.01","nSBA__SBA_ChangeOwner","","","","false","a0vWE00000FWswiYAD","nSBA__Change_Of_Ownerships__r","","","false","1086","nSBA__Change_Of_Ownership__c"
"a0vWE00000FWt0nYAD","false","SC-000022022","a0qWE00000USgn1YAD","1.01","","","","","false","","","","","false","1087","Account"
"a0vWE00000FWswjYAD","false","SC-000022264","a0qWE00000USgn1YAD","2.01","UI_Site_Visits","","","","false","a0vWE00000FWt0nYAD","LLC_BI__Site_Visit_Memos__r","","","false","1088","LLC_BI__Site_Visit_Memo__c"
"a0vWE00000FWt0oYAD","false","SC-000022023","a0qWE00000USgmVYAT","1.01","","","","","false","","","","","false","1089","Account"
"a0vWE00000FWswkYAD","false","SC-000022265","a0qWE00000USgmVYAT","2.01","UI_Account_Covenant","","","","false","a0vWE00000FWt0oYAD","LLC_BI__Account_Covenants__r","","","false","1090","LLC_BI__Account_Covenant__c"
"a0vWE00000FWt0pYAD","false","SC-000022024","a0qWE00000USgn4YAD","1.01","","","","","false","","","","","false","1096","Account"
"a0vWE00000FWswlYAD","false","SC-000022266","a0qWE00000USgn4YAD","2.01","LLC_BI__UI_Treasury_Products","","","","false","a0vWE00000FWt0pYAD","LLC_BI__Legal_Entities__r","","","false","1097","LLC_BI__Legal_Entities__c"
"a0vWE00000FWt0qYAD","false","SC-000022025","a0qWE00000USgmiYAD","1.01","","","","","false","","","","","false","1100","Account"
"a0vWE00000FWswmYAD","false","SC-000022267","a0qWE00000USgmiYAD","2.01","UI_Relationship_Opportunities","","","","false","a0vWE00000FWt0qYAD","Opportunities","","","false","1101","Opportunity"
"a0vWE00000FWt4OYAT","false","SC-000022145","a0qWE00000USgnfYAD","0.0","","","","","false","","","Third Party Management","","false","11011640791248840","LLC_BI__Loan__c"
"a0vWE00000FWt0rYAD","false","SC-000022026","a0qWE00000USgmhYAD","1.01","","","","","false","","","","","false","1102","Account"
"a0vWE00000FWt0sYAD","false","SC-000022027","a0qWE00000USgmWYAT","1.01","","","","","false","","","","","false","1103","Account"
"a0vWE00000FSMRAYA5","false","SC-000021003","a0qWE00000UNVxRYAX","1.01","","","","","false","","","Loan Relationship","","false","1104","LLC_BI__Loan__c"
"a0vWE00000FSN33YAH","false","SC-000021852","a0qWE00000UNVxRYAX","2.01","UI_Borrowing_Structure","","","","false","a0vWE00000FSMRAYA5","LLC_BI__Legal_Entities__r","Borrowing Structure","","false","1105","LLC_BI__Legal_Entities__c"
"a0vWE00000FSMRBYA5","false","SC-000021004","a0qWE00000UNVxOYAX","1.0","","","","","false","","","Tasks","","false","1106","LLC_BI__Loan__c"
"a0vWE00000FSN34YAH","false","SC-000021853","a0qWE00000UNVxOYAX","2.0","LLC_BI__UI_Tasks","","","","false","a0vWE00000FSMRBYA5","Tasks","Tasks","","false","1107","Task"
"a0vWE00000FWt0tYAD","false","SC-000022028","a0qWE00000USgnEYAT","1.0","","","","","false","","","HMDA","","false","1108","LLC_BI__Loan__c"
"a0vWE00000FWswnYAD","false","SC-000022268","a0qWE00000USgnEYAT","2.0","LLC_BI__UI_HMDA_Demographic_Questions","","","","false","a0vWE00000FWt0tYAD","LLC_BI__Legal_Entities__r","HMDA","","false","1109","LLC_BI__Legal_Entities__c"
