"Id","IsDeleted","Name","nFORCE__Screen__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Screen_View__c","nFORCE__Section_Resource__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Parent_Screen_Section__c","nFORCE__Number_of_Columns__c","Custom_Code_in_Screen_Section__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Validation_Service__c","nFORCE__Optional_Configuration__c","nPortal__Portal_Header_Text__c","nPortal__Portal_Subheader_Text__c","LastViewedDate","LastReferencedDate"
"a2Fbn000000C3hBEAS","","Collateral Pledged","a2Gbn000000hce5EAA","false","false","false","true","false","1.0","slide","true","false","false","false","","true","","a2Ibn000000M68sEAC","MappedSObjectHierarchyScreenResource","","21901585604341049","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3jFEAS","","Team Members","a2Gbn000000hcg6EAA","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","22181619447515172","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3hCEAS","","Collateral Value","a2Gbn000000hce6EAA","false","false","true","true","false","1.0","slide","true","false","false","false","","true","","a2Ibn000000M68tEAC","MappedSObjectHierarchyScreenResource","","22621585604341049","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000CzHFEA0","","Credit Check","a2Gbn000000kG3vEAE","false","false","false","false","false","0.0","slide","true","false","false","false","","true","","a2Ibn000000NRBaEAO","MappedSObjectScreenResource","","22921666029075352","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3WzEAK","","Decision_Overview","a2Gbn000000hcdNEAQ","false","false","true","true","false","7.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","23261560278867256","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3jQEAS","","Loan Information","a2Gbn000000hcgHEAQ","false","false","true","true","false","0.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","24041619447515176","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3X4EAK","","UI Collateral Record Schedule","a2Gbn000000hcdMEAQ","false","false","false","false","false","","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","24131560278867308","LLC_BI__Loan_Collateral2__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3dWEAS","","Property Location","a2Gbn000000hcfVEAQ","false","false","true","true","false","2.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","24751585604341050","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000CzGSEA0","","Approver 1 Details","a2Gbn000000kG3XEAU","false","false","true","false","false","20.0","slide","true","false","false","false","","true","","a2Ibn000000NRB5EAO","MappedSObjectScreenResource","","24871640791248107","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3WwEAK","","Add Asset","a2Gbn000000hcdNEAQ","false","false","true","true","false","4.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","25181560278867254","nRetail__Asset__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3jNEAS","","Balance Details","a2Gbn000000hcgEEAQ","false","false","false","true","false","3.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","","25201619447515174","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3jmEAC","","Authorized Signers","a2Gbn000000hcguEAA","false","false","false","false","false","1.0","slide","true","false","false","false","","false","","a2Ibn000000M69hEAC","GrandchildScreenResource","","26471620937672155","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
