"Id","OwnerId","IsDeleted","Name","nFORCE__Disable_Print__c","nFORCE__Show_Link_To_Context_Object__c","nFORCE__lookupKey__c","nFORCE__Disable_Read_Only_View__c","nPortal__Add_Multi_Record_Display_Icon__c","nPortal__Maximum_Number_of_Records__c","nPortal__Minimum_Number_of_Records__c","nPortal__OA_Review_Multiple_Record_Entry_Label__c"
"a2Gbn000000hceOEAQ","005bn000003k2JdAAI","","Loan Products","false","true","42567764686172869","false","","","",""
"a2Gbn000000kG42EAE","005bn000003k2JdAAI","","Collateral - Locked","false","true","42582888066068259","false","","","",""
"a2Gbn000000hccdEAA","005bn000003k2JdAAI","","Counterparty Report","false","true","42582982089307696","false","","","",""
"a2Gbn000000hcfyEAA","005bn000003k2JdAAI","","Rate & Payment Structure","false","true","42597613353871482","false","","","",""
"a2Gbn000000hccgEAA","005bn000003k2JdAAI","","Pricing","false","true","42603748046132357","false","","","",""
"a2Gbn000000hcd7EAA","005bn000003kBWnAAM","","Application Details","false","true","42607933161237870","false","","","",""
"a2Gbn000000hcdGEAQ","005bn000003kBWnAAM","","Application Details","false","true","42614756889733027","false","","","",""
"a2Gbn000000mZ9xEAE","005bn000003k2JdAAI","","Rates and APY","false","true","42615384382748734","false","","","",""
"a2Gbn000000hcfmEAA","005bn000003k2JdAAI","","Manage Budget Screen","false","true","42622713689821035","false","","","",""
"a2Gbn000000hchDEAQ","005bn000003k2JdAAI","","Row Edit Post Approval","false","true","42623271149565690","false","","","",""
"a2Gbn000000hcfjEAA","005bn000003k2JdAAI","","pp-tn-review-detail","false","true","42623826249591830","false","","","",""
"a2Gbn000000kG45EAE","005bn000003k2JdAAI","","Pricing Approved","false","true","42628206483992946","false","","","",""
"a2Gbn000000hcftEAA","005bn000003k2JdAAI","","Treasury Service Details","false","true","42634238437115000","false","","","",""
"a2Gbn000000hcdXEAQ","005bn000003k2JdAAI","","SBL Eligibility","false","true","42636216486699414","false","","","",""
"a2Gbn000000mZABEA2","005bn000003k2JdAAI","","Credit Authorization","false","true","42650005288493003","false","","","",""
"a2Gbn000000hcd1EAA","005bn000003kBWnAAM","","Application Details","false","true","42659629105416955","false","","","",""
"a2Gbn000000hcgmEAA","005bn000003k2JdAAI","","Loan Team Member Information","false","true","42661620937671562","false","","","",""
"a2Gbn000000hccNEAQ","005bn000003k2JdAAI","","Available Screen Sections","false","true","42668947043259055","false","","","",""
"a2Gbn000000hcduEAA","005bn000003k2JdAAI","","Risk Rating","false","true","42672158236792769","false","","","",""
"a2Gbn000000hch6EAA","005bn000003k2JdAAI","","Account Current","false","true","42673965235711935","false","","","",""
"a2Gbn000000hchGEAQ","005bn000003k2JdAAI","","Copy Loan","false","true","42678219453394575","false","","","",""
