"Id","OwnerId","IsDeleted","Name","LLC_BI__Description__c","LLC_BI__End_Date__c","LLC_BI__Has_Period_Grouping__c","LLC_BI__Is_Consolidation__c","LLC_BI__Is_Disabled__c","LLC_BI__Is_Template__c","LLC_BI__Migration_Target__c","LLC_BI__Object_API_Name__c","LLC_BI__Selected_Scale__c","LLC_BI__Show_Footnotes__c","LLC_BI__Source_Template__c","LLC_BI__Start_Date__c","LLC_BI__Version__c","LLC_BI__lookupKey__c"
"a5VWD000000HAzZ2AW","005al00000RVcKvAAL","false","a5VWD000000HAzZ","","","false","false","false","true","","","$","true","","","","42022181116933247"
"a5VWD000000HAnA2AW","005al00000RVcKvAAL","false","a5VWD000000HAnA","","","false","false","false","true","","","mm","false","","","","42023104533051410"
"a5VWD000000HB1z2AG","005al00000RVcKvAAL","false","a5VWD000000HB1z","","","false","false","false","true","","","$","false","","","","42023176315291153"
"a5VWD000000HB0o2AG","005al00000RVcKvAAL","false","a5VWD000000HB0o","","","false","false","false","true","","","mm","false","","","","42023593495283121"
"a5VWD000000HBE92AO","005al00000RVcKvAAL","false","a5VWD000000HBE9","","","false","false","false","true","","","$","true","","","","42023640787803375"
"a5VWD000000HAgu2AG","005al00000RVcKvAAL","false","a5VWD000000HAgu","","","false","false","false","true","","","mm","true","","","","42023873097029544"
"a5VWD000000HBCK2A4","005al00000RVcKvAAL","false","a5VWD000000HBCK","","","false","false","false","true","","","m","true","","","","42023998645847159"
"a5VWD000000HB6t2AG","005al00000RVcKvAAL","false","a5VWD000000HB6t","","","false","false","false","true","","","m","true","","","","42024057594977489"
"a5VWD000000HBGJ2A4","005al00000RVcKvAAL","false","a5VWD000000HBGJ","","","false","false","false","true","","","$","true","","","","42024618425013669"
"a5VWD000000HAnJ2AW","005al00000RVcKvAAL","false","a5VWD000000HAnJ","","","false","false","false","true","","","mm","false","","","","42024828751606015"
"a5VWD000000HAZ12AO","005al00000RVcKvAAL","false","a5VWD000000HAZ1","","","false","false","false","true","","","m","false","","","","42025654499227682"
"a5VWD000000HAYx2AO","005al00000RVcKvAAL","false","a5VWD000000HAYx","","","false","false","false","true","","","mm","false","","","","42025783155946870"
