"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","nFORCE__Category__c","nFORCE__Generator_Class__c","nFORCE__Layout_Description__c","nFORCE__Layout_Preview_Image__c","nFORCE__Visualforce_Page__c","nFORCE__lookupKey__c"
"a0bWD0000011LuyYAE","005al00000RVcKvAAL","false","NoLayout","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.NoLayout","","","","42537422353319997"
"a0bWD0000011LuzYAE","005al00000RVcKvAAL","false","a2Cbn000002Vb5p","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.NoLayout","","","","42538860713939016"
"a0bWD0000011L5wYAE","005al00000RVcKvAAL","false","TwoColumnGrid","2026-04-07T18:59:36.000Z","005al00000RVcKvAAL","2026-08-24T18:42:38.000Z","005al00000RVvFOAA1","2026-08-24T18:42:38.000Z","","Html.Layouts.TwoColumnGrid","","","","42539430516670390"
"a0bWD0000011Lv0YAE","005al00000RVcKvAAL","false","TableLayout","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","","Html.Layouts.TableLayout","","","","42539701744877845"
"a0bWD0000011MYqYAM","005al00000RVcKvAAL","false","a313g0000008Q0O","2026-04-07T19:27:13.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","","Html.Layouts.TableLayout","","","","42540194977252696"
"a0bWD0000011LBEYA2","005al00000RVcKvAAL","false","TableLayout","2026-04-07T18:59:36.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.TableLayout","","","","42540860262573765"
"a0bWD0000011MYrYAM","005al00000RVcKvAAL","false","TwoColumnGrid","2026-04-07T19:27:13.000Z","005al00000RVcKvAAL","2026-08-24T08:44:09.000Z","005al00000RVvFOAA1","2026-08-24T08:44:09.000Z","","Html.Layouts.TwoColumnGrid","","","","42540909449019459"
"a0bWD0000011LBFYA2","005al00000RVcKvAAL","false","TableLayout","2026-04-07T18:59:36.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.TableLayout","","","","42541110752456881"
"a0bWD0000011Lv1YAE","005al00000RVcKvAAL","false","NoLayout","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.NoLayout","","","","42541649671862168"
"a0bWD0000011Lv2YAE","005al00000RVcKvAAL","false","TwoColumnGrid","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","","Html.Layouts.TwoColumnGrid","","","","42541724021921059"
"a0bWD0000011Lv3YAE","005al00000RVcKvAAL","false","TableLayout","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.TableLayout","","","","42542346662868542"
"a0bWD0000011Lv4YAE","005al00000RVcKvAAL","false","a2Cbn000002Vb7P","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","","Html.Layouts.TableLayout","","","","42542563455684729"
"a0bWD0000011L8MYAU","005al00000RVcKvAAL","false","TwoColumnGrid","2026-04-07T18:59:36.000Z","005al00000RVcKvAAL","2026-08-24T18:42:38.000Z","005al00000RVvFOAA1","2026-08-24T18:42:38.000Z","","Html.Layouts.TwoColumnGrid","","","","42542679593771931"
"a0bWD0000011Lv5YAE","005al00000RVcKvAAL","false","TableLayout","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.TableLayout","","","","42542787056318125"
"a0bWD0000011Lv6YAE","005al00000RVcKvAAL","false","NoLayout","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","","Html.Layouts.NoLayout","","","","42542865593861008"
"a0bWD0000011Lv7YAE","005al00000RVcKvAAL","false","NoLayout","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","","Html.Layouts.NoLayout","","","","42543207904564414"
"a0bWD0000011Lv8YAE","005al00000RVcKvAAL","false","NoLayout","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","","Html.Layouts.NoLayout","","","","42543613959216168"
"a0bWD0000011LBGYA2","005al00000RVcKvAAL","false","TableLayout","2026-04-07T18:59:36.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.TableLayout","","","","42543615742807069"
"a0bWD0000011Lv9YAE","005al00000RVcKvAAL","false","a2Cbn000002Vb6m","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.NoLayout","","","","42543975106909015"
"a0bWD0000011LvAYAU","005al00000RVcKvAAL","false","TableLayout","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","","Html.Layouts.TableLayout","","","","42544042269725591"
"a0bWD0000011LvBYAU","005al00000RVcKvAAL","false","TwoColumnGrid","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.TwoColumnGrid","","","","42544985847264362"
"a0bWD0000011LvCYAU","005al00000RVcKvAAL","false","a313g0000008Q0N","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","","Html.Layouts.TwoColumnGrid","","","","42545117070440007"
"a0bWD0000011LvDYAU","005al00000RVcKvAAL","false","a2Cbn000002Vb79","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.TableLayout","","","","42545753841908418"
"a0bWD0000011L8NYAU","005al00000RVcKvAAL","false","TwoColumnGrid","2026-04-07T18:59:36.000Z","005al00000RVcKvAAL","2026-08-24T18:42:38.000Z","005al00000RVvFOAA1","2026-08-24T18:42:38.000Z","","Html.Layouts.TwoColumnGrid","","","","425459872416853"
"a0bWD0000011LvEYAU","005al00000RVcKvAAL","false","NoLayout","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.NoLayout","","","","42547003277756806"
"a0bWD0000011L8OYAU","005al00000RVcKvAAL","false","TwoColumnGrid","2026-04-07T18:59:36.000Z","005al00000RVcKvAAL","2026-08-24T18:42:38.000Z","005al00000RVvFOAA1","2026-08-24T18:42:38.000Z","","Html.Layouts.TwoColumnGrid","","","","42548889964372615"
"a0bWD0000011LvFYAU","005al00000RVcKvAAL","false","NoLayout","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-24T18:42:38.000Z","005al00000RVvFOAA1","2026-08-24T18:42:38.000Z","","Html.Layouts.NoLayout","","","","42548904280739571"
"a0bWD0000011LvGYAU","005al00000RVcKvAAL","false","NoLayout","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","","Html.Layouts.NoLayout","","","","42549334839494901"
"a0bWD0000011MYsYAM","005al00000RVcKvAAL","false","TwoColumnGrid","2026-04-07T19:27:13.000Z","005al00000RVcKvAAL","2026-08-24T08:44:09.000Z","005al00000RVvFOAA1","2026-08-24T08:44:09.000Z","","Html.Layouts.TwoColumnGrid","","","","42549811364749892"
"a0bWD0000011LvHYAU","005al00000RVcKvAAL","false","TableLayout","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.TableLayout","","","","42550154818337966"
"a0bWD0000011LvIYAU","005al00000RVcKvAAL","false","NoLayout","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.NoLayout","","","","42550264122823454"
"a0bWD0000011LvJYAU","005al00000RVcKvAAL","false","TwoColumnGrid","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.TwoColumnGrid","","","","42550800451641559"
"a0bWD0000011L8PYAU","005al00000RVcKvAAL","false","TwoColumnGrid","2026-04-07T18:59:36.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.TwoColumnGrid","","","","42551311500923194"
"a0bWD0000011MYtYAM","005al00000RVcKvAAL","false","a313g0000008Q0O","2026-04-07T19:27:13.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","","Html.Layouts.TableLayout","","","","42551341267210506"
"a0bWD0000011L8QYAU","005al00000RVcKvAAL","false","TwoColumnGrid","2026-04-07T18:59:36.000Z","005al00000RVcKvAAL","2026-08-24T18:42:38.000Z","005al00000RVvFOAA1","2026-08-24T18:42:38.000Z","","Html.Layouts.TwoColumnGrid","","","","42552149253986908"
"a0bWD0000011LvKYAU","005al00000RVcKvAAL","false","a314T000000Xm6J","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.TwoColumnGrid","","","","42553029105598400"
"a0bWD0000011LvLYAU","005al00000RVcKvAAL","false","TwoColumnGrid","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.TwoColumnGrid","","","","42553378990776158"
"a0bWD0000011LvMYAU","005al00000RVcKvAAL","false","NoLayout","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.NoLayout","","","","42553480538303054"
"a0bWD0000011MYuYAM","005al00000RVcKvAAL","false","TableLayout","2026-04-07T19:27:13.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","","Html.Layouts.TableLayout","","","","42553620764558676"
"a0bWD0000011MYvYAM","005al00000RVcKvAAL","false","TableLayout","2026-04-07T19:27:13.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","","Html.Layouts.TableLayout","","","","42553767164880515"
"a0bWD0000011LvNYAU","005al00000RVcKvAAL","false","TwoColumnGrid","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.TwoColumnGrid","","","","42555519863184128"
"a0bWD0000011LvOYAU","005al00000RVcKvAAL","false","NoLayout","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.NoLayout","","","","42556302974020760"
"a0bWD0000011LvPYAU","005al00000RVcKvAAL","false","NoLayout","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.NoLayout","","","","42556793340654082"
"a0bWD0000011MYwYAM","005al00000RVcKvAAL","false","a313g0000008Q0O","2026-04-07T19:27:13.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","","Html.Layouts.TableLayout","","","","42557001641934133"
