"Id","IsDeleted","Name","LLC_BI__Classification__c","LLC_BI__Spread_Statement_Total_Group__c","LLC_BI__lookupKey__c"
"a3gbn000000K8qVAAS","","a3gbn000000K8w6","a3Ybn0000004xMoEAI","a16bn00000108aUAAQ","42148979887289714"
"a3gbn000000K8uTAAS","","a5ybn000000LSQC","a3Ybn0000004xKiEAI","a16bn00000108ebAAA","42149197869786249"
"a3gbn000000K8qwAAC","","Total Pro Forma Sensitized DS","a3Ybn0000004xLVEAY","a16bn00000108auAAA","42149530887679736"
"a3gbn000000K8nMAAS","","Taxes Paid","a3Ybn0000004xLTEAY","a16bn00000108VWAAY","42150059770854524"
"a3gbn000000K8qkAAC","","a5ybn000000LSMz","a3Ybn0000004xKuEAI","a16bn00000108b5AAA","42156343681450188"
"a3gbn000000K8smAAC","","a5ybn000000LSN9","a3Ybn0000004xLUEAY","a16bn00000108d3AAA","42156691367111357"
"a3gbn000000K8o1AAC","","a3kbn000000CnQF","a3Ybn0000004xKJEAY","a16bn00000108V1AAI","42161994538053992"
"a3gbn000000K8nhAAC","","a5ybn000000LSNH","a3Ybn0000004xLlEAI","a16bn00000108VvAAI","42163692195262365"
"a3gbn000000K8oXAAS","","a5ybn000000LSNT","a3Ybn0000004xKgEAI","a16bn00000108IpAAI","42169341680893739"
"a3gbn000000K8qaAAC","","a3kbn000000CnQL","a3Ybn0000004xCvEAI","a16bn00000108abAAA","42170977238559563"
"a3gbn000000K8mWAAS","","a5ybn000000LSMO","a3Ybn0000004xKrEAI","a16bn00000108IAAAY","42171447055174098"
"a3gbn000000K8uEAAS","","a5ybn000000LSPH","a3Ybn0000004xMTEAY","a16bn00000108eLAAQ","42172022687833088"
"a3gbn000000K8rPAAS","","Book Net Sales","a3Ybn0000004xLtEAI","a16bn00000108bqAAA","42173954622443908"
"a3gbn000000K8q1AAC","","Total Gross Intangibles","a3Ybn0000004xMgEAI","a16bn00000108aFAAQ","42175299993924614"
"a3gbn000000K8p1AAC","","a5ybn000000LSNx","a3Ybn0000004xLgEAI","a16bn00000108XCAAY","42182944831318155"
"a3gbn000000K8otAAC","","a5ybn000000LSNp","a3Ybn0000004xMFEAY","a16bn00000108X4AAI","42184408714918100"
"a3gbn000000K8qPAAS","","a5ybn000000LSP1","a3Ybn0000004xMHEAY","a16bn00000108XhAAI","42185812848430038"
"a3gbn000000K8pAAAS","","a5ybn000000LSO6","a3Ybn0000004xMJEAY","a16bn00000108XQAAY","42186351736181418"
"a3gbn000000K8oBAAS","","tcfgrosscf","a3Ybn0000004xM0EAI","a16bn00000108WaAAI","42186774472162587"
"a3gbn000000K8uHAAS","","a5ybn000000LSPK","a3Ybn0000004xKuEAI","a16bn00000108ePAAQ","42188174937398631"
"a3gbn000000K8qjAAC","","a5ybn000000LSMy","a3Ybn0000004xKgEAI","a16bn00000108awAAA","42188689879187713"
"a3gbn000000K8qeAAC","","a5ybn000000LSMt","a3Ybn0000004xKnEAI","a16bn00000108amAAA","42188883108007507"
"a3gbn000000K8rnAAC","","a5ybn000000LSPD","a3Ybn0000004xMPEAY","a16bn00000108fSAAQ","42191971466685651"
"a3gbn000000K8uJAAS","","a5ybn000000LSPM","a3Ybn0000004xKvEAI","a16bn00000108eRAAQ","42193264717420154"
"a3gbn000000K8sXAAS","","a5ybn000000LSMw","a3Ybn0000004xLOEAY","a16bn00000108cfAAA","42193401183343836"
"a3gbn000000K8r3AAC","","a5ybn000000LSMm","a3Ybn0000004xLKEAY","a16bn00000108bNAAQ","42197662598579444"
"a3gbn000000K8pKAAS","","a5ybn000000LSOG","a3Ybn0000004xLkEAI","a16bn00000108XoAAI","42204544726959916"
"a3gbn000000K8uiAAC","","a5ybn000000LSPt","a3Ybn0000004xLKEAY","a16bn00000108erAAA","42205146110509870"
"a3gbn000000K8oTAAS","","a5ybn000000LSNP","a3Ybn0000004xKoEAI","a16bn00000108IlAAI","42205815929256767"
"a3gbn000000K8riAAC","","a5ybn000000LSP9","a3Ybn0000004xLCEAY","a16bn00000108fMAAQ","42205911678961308"
"a3gbn000000K8maAAC","","a5ybn000000LSMS","a3Ybn0000004xKvEAI","a16bn00000108IHAAY","42205952984977405"
"a3gbn000000K8rtAAC","","a5ybn000000LSPJ","a3Ybn0000004xMVEAY","a16bn00000108fYAAQ","42207110327415169"
"a3gbn000000K8oNAAS","","schftotalexp","a3Ybn0000004xMBEAY","a16bn00000108WrAAI","42207716081064954"
"a3gbn000000K8q8AAC","","a3gbn000000K8w3","a3Ybn0000004xKnEAI","a16bn00000108aMAAQ","42210861038641737"
"a3gbn000000K8n7AAC","","a5ybn000000LSMs","a3Ybn0000004xKlEAI","a16bn00000108V9AAI","42211072080005517"
"a3gbn000000K8nxAAC","","a3kbn000000CnQA","a3Ybn0000004xLyEAI","a16bn00000108UwAAI","42213727894064244"
"a3gbn000000K8tnAAC","","a5ybn000000LSPw","a3Ybn0000004xMGEAY","a16bn00000108djAAA","42214180433275861"
"a3gbn000000K8nFAAS","","a5ybn000000LSN0","a3Ybn0000004xKwEAI","a16bn00000108VPAAY","42215658222388195"
"a3gbn000000K8uuAAC","","a5ybn000000LSQ6","a3Ybn0000004xLjEAI","a16bn00000108f2AAA","42218888450924836"
"a3gbn000000K8njAAC","","a5ybn000000LSNJ","a3Ybn0000004xLPEAY","a16bn00000108VtAAI","42223190648154504"
"a3gbn000000K8ofAAC","","a5ybn000000LSNc","a3Ybn0000004xLSEAY","a16bn00000108JHAAY","42224243283624114"
"a3gbn000000K8mgAAC","","a5ybn000000LSMW","a3Ybn0000004xL1EAI","a16bn00000108IOAAY","42225415925157506"
"a3gbn000000K8qFAAS","","a5ybn000000LSOr","a3Ybn0000004xLFEAY","a16bn00000108XWAAY","42225484152021029"
"a3gbn000000K8rRAAS","","Book Operating Expenses","a3Ybn0000004xLdEAI","a16bn00000108bsAAA","42228235590156466"
"a3gbn000000K8qoAAC","","a5ybn000000LSN3","a3Ybn0000004xKxEAI","a16bn00000108b9AAA","42230030007929071"
"a3gbn000000K8u6AAC","","a5ybn000000LSPA","a3Ybn0000004xLUEAY","a16bn00000108eCAAQ","42231854014440049"
"a3gbn000000K8sBAAS","","Total Other Current Assets","a3Ybn0000004xMcEAI","a16bn00000108fnAAA","42233723025059450"
"a3gbn000000K8p0AAC","","a5ybn000000LSNu","a3Ybn0000004xLfEAI","a16bn00000108XBAAY","42234161110185779"
"a3gbn000000K8uaAAC","","a5ybn000000LSPe","a3Ybn0000004xLPEAY","a16bn00000108ejAAA","42238371202919862"
"a3gbn000000K8sZAAS","","a5ybn000000LSMy","a3Ybn0000004xKgEAI","a16bn00000108chAAA","42242593063924749"
"a3gbn000000K8p5AAC","","a5ybn000000LSO1","a3Ybn0000004xLjEAI","a16bn00000108XLAAY","42242966269033597"
"a3gbn000000K8oLAAS","","netincomesche","a3Ybn0000004xM9EAI","a16bn00000108WpAAI","42244303831113822"
"a3gbn000000K8neAAC","","a5ybn000000LSNE","a3Ybn0000004xLiEAI","a16bn00000108VsAAI","42247004080327438"
"a3gbn000000K8pgAAC","","a5ybn000000LSOb","a3Ybn0000004xKwEAI","a16bn00000108ZuAAI","42247395194861013"
"a3gbn000000K8mYAAS","","PFS - Total Liabilities","a3Ybn0000004xKtEAI","a16bn00000108ICAAY","42249274372190989"
"a3gbn000000K8rSAAS","","Book Operating Profit","a3Ybn0000004xLeEAI","a16bn00000108bpAAA","42250359207864209"
"a3gbn000000K8sbAAC","","a5ybn000000LSMz","a3Ybn0000004xKuEAI","a16bn00000108cqAAA","42252258514286011"
"a3gbn000000K8r5AAC","","a5ybn000000LSMn","a3Ybn0000004xLLEAY","a16bn00000108bOAAQ","42253070760947387"
"a3gbn000000K8uyAAC","","a5ybn000000LSQ9","a3Ybn0000004xMJEAY","a16bn00000108fHAAQ","42253819454577677"
"a3gbn000000K8mRAAS","","a5ybn000000LSML","a3Ybn0000004xKnEAI","a16bn00000108I7AAI","42254432599721816"
"a3gbn000000K8qIAAS","","a5ybn000000LSOu","a3Ybn0000004xLIEAY","a16bn00000108XZAAY","42257111886424946"
"a3gbn000000K8rvAAC","","a5ybn000000LSPL","a3Ybn0000004xKwEAI","a16bn00000108fbAAA","42257730343573990"
"a3gbn000000K8u3AAC","","a5ybn000000LSP7","a3Ybn0000004xMMEAY","a16bn00000108e9AAA","42259815455963434"
"a3gbn000000K8pIAAS","","a5ybn000000LSOB","a3Ybn0000004xLiEAI","a16bn00000108XmAAI","42259900719033788"
"a3gbn000000K8swAAC","","a5ybn000000LSPc","a3Ybn0000004xMGEAY","a16bn00000108dGAAQ","42262272360575318"
"a3gbn000000K8sdAAC","","a5ybn000000LSN4","a3Ybn0000004xLREAY","a16bn00000108cuAAA","42262940516487408"
"a3gbn000000K8sCAAS","","a3gbn000000K8wG","a3Ybn0000004xKhEAI","a16bn00000108foAAA","42264276418190895"
"a3gbn000000K8nVAAS","","a3gbn000000K8vy","a3Ybn0000004xLZEAY","a16bn00000108WJAAY","42272101338692273"
"a3gbn000000K8sNAAS","","a3gbn000000K8wI","a3Ybn0000004xKnEAI","a16bn00000108fzAAA","42276830144399882"
"a3gbn000000K8poAAC","","Total Minority Interest","a3Ybn0000004xMYEAY","a16bn00000108a2AAA","42278281301848096"
"a3gbn000000K8n2AAC","","a5ybn000000LSMn","a3Ybn0000004xLLEAY","a16bn00000108VlAAI","42283291154189942"
"a3gbn000000K8mxAAC","","a5ybn000000LSMi","a3Ybn0000004xLGEAY","a16bn00000108VfAAI","42283790297227164"
