"Id","OwnerId","IsDeleted","Name","LastViewedDate","LastReferencedDate","LLC_BI__Category__c","LLC_BI__lookupKey__c"
"a1fWE000002SqzFYAS","005al00000RVvFOAA1","false","Loss on Asset Sale","","","Accounting Grid (Income Statement)","Loss_on_Asset_Sale_ACCTGRD"
"a1fWE000002UdONYA0","005al00000RVvFOAA1","false","M1 2 Income incl in SchK","","","Accounting Grid (Other)","M1_2_Income_incl_in_SchK_ACCTGRD"
"a1fWE000002UdOOYA0","005al00000RVvFOAA1","false","M1 3 Expenses","","","Accounting Grid (Other)","M1_3_Expenses_ACCTGRD"
"a1fWE000002UdOPYA0","005al00000RVvFOAA1","false","M1 3a Depreciation","","","Accounting Grid (Other)","M1_3a_Depreciation_ACCTGRD"
"a1fWE000002UdOQYA0","005al00000RVvFOAA1","false","M1 5 Income recorded","","","Accounting Grid (Other)","M1_5_Income_recorded_ACCTGRD"
"a1fWE000002UdORYA0","005al00000RVvFOAA1","false","M1 6 Deductions","","","Accounting Grid (Other)","M1_6_Deductions_ACCTGRD"
"a1fWE000002UdOSYA0","005al00000RVvFOAA1","false","M1 6a Depreciation","","","Accounting Grid (Other)","M1_6a_Depreciation_ACCTGRD"
"a1fWE000002SqzGYAS","005al00000RVvFOAA1","false","M1 Guaranteed Payments","","","Accounting Grid (Other)","M1_Guaranteed_Payments_ACCTGRD"
"a1fWE000002UdOTYA0","005al00000RVvFOAA1","false","M1 Net Income per book","","","Accounting Grid (Other)","M1_Net_Income_per_book_ACCTGRD"
"a1fWE000002SqzXYAS","005al00000RVvFOAA1","false","M2 Net Income","","","Accounting Grid (Other)","M2_Net_Income"
"a1fWE000002UdOUYA0","005al00000RVvFOAA1","false","M3 Reconciliation Total","","","Accounting Grid (Other)","M3_Reconciliation_Total_ACCTGRD"
"a1fWE000002UdOVYA0","005al00000RVvFOAA1","false","Machinery - Appreciation/Depreciation","","","Accounting Grid (AG Owner Operator)","Machinery_AppreciationorDepreciation_ACCTGRD"
"a1fWE000002SqzbYAC","005al00000RVvFOAA1","false","Machinery & Equipment","","","Accounting Grid (Balance Sheet)","Machinery_Equipment_ACCTGRD"
"a1fWE000002SqzdYAC","005al00000RVvFOAA1","false","Manual Input - PFY Net Worth","","","Accounting Grid (Other)","Manual_Input_PFY_Net_Worth_ACCTGRD"
"a1fWE000002SqzeYAC","005al00000RVvFOAA1","false","Margin After Debt Servicing","","","Accounting Grid (AG Owner Operator)","Margin_After_DebtServicing_ACCTGRD"
"a1fWE000002SqzfYAC","005al00000RVvFOAA1","false","Market Livestock & Poultry","","","Accounting Grid (AG Owner Operator)","MarketLivestock_andPoultry_ACCTGRD"
"a1fWE000002SqzgYAC","005al00000RVvFOAA1","false","Mkt Livestock & Poultry - Manual Adjust","","","Accounting Grid (Cash Accounting)","MarketLivestock_andPoultry_ManualAdjust_ACCTGRD"
"a1fWE000002SqzhYAC","005al00000RVvFOAA1","false","Market Lvstk/Poultry Sales","","","Accounting Grid (Cash Accounting)","Market_LvstkPoultry_Sales_ACCTGRD"
"a1fWE000002SqziYAC","005al00000RVvFOAA1","false","Marketable Securities","","","Accounting Grid (Balance Sheet)","Marketable_Securities_ACCTGRD"
"a1fWE000002SqzjYAC","005al00000RVvFOAA1","false","Minority Interest-Equity","","","Accounting Grid (Balance Sheet)","Minority_InterestEquity_ACCTGRD"
"a1fWE000002SqzkYAC","005al00000RVvFOAA1","false","Minority Interest-Liab","","","Accounting Grid (Balance Sheet)","Minority_InterestLiab_ACCTGRD"
"a1fWE000002SqzlYAC","005al00000RVvFOAA1","false","Minority Interest","","","Accounting Grid (Income Statement)","Minority_Interest_ACCTGRD"
"a1fWE000002LEg3YAG","005al00000RVvFOAA1","false","Mkt Livestock & Poultry Total Adjust.","","","Accounting Grid (AG Owner Operator)","MtkLivestockandPoultry_TotalAdjust_ACCTRD"
"a1fWE000002SqzpYAC","005al00000RVvFOAA1","false","NCF DSCR","","","NOI Statement","NCF DSCR"
"a1fWE000002SqzqYAC","005al00000RVvFOAA1","false","NI+Depr+Amort-Divs / CP CPLTD","","","Accounting Grid (Ratios/Stats)","NIDeprAmortDivs_CP_CPLTD_ACCTGRD"
