"Id","IsDeleted","Name","nFORCE__Screen__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Number_of_Columns__c","nFORCE__Optional_Configuration__c","nFORCE__Parent_Screen_Section__c","nFORCE__Section_Resource__c","nFORCE__Validation_Service__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","Custom_Code_in_Screen_Section__c"
"a0qVx00000Gm4Z9IAJ","false","Collateral Details","a0sVx000002iIWRIA2","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","true","","true","","","","MappedSObjectScreenResource","","42607265308893146","LLC_BI__Loan_Collateral2__c",""
"a0qal00000CdJdcAAF","false","Bulk Pledge Details","a0sal000004PdLfAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42611864134409575","LLC_BI__Loan_Collateral2__c",""
"a0qal00000CdJddAAF","false","Bulk Pledge Details","a0sal000004PdLtAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42615334647610688","LLC_BI__Loan_Collateral2__c",""
"a0qal00000CdJdeAAF","false","Collateral Search Results","a0sal000004PdLdAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42629025865407762","LLC_BI__Collateral__c",""
"a0qal00000CdJdfAAF","false","Collateral Valuation","a0sal000004PdLpAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42636758536657529","LLC_BI__Collateral__c",""
"a0qal00000CdJdgAAF","false","Bulk Pledge Details","a0sal000004PdLkAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42637226840552638","LLC_BI__Loan_Collateral2__c",""
"a0qal00000CdJdhAAF","false","Collateral Search Results","a0sal000004PdLuAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42646748815427008","LLC_BI__Collateral__c",""
"a0qal00000CdJdiAAF","false","Bulk Pledge Details","a0sal000004PdLaAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42649800298279122","LLC_BI__Loan_Collateral2__c",""
"a0qal00000CdJdjAAF","false","Collateral Search Results","a0sal000004PdLrAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42672268055648249","LLC_BI__Collateral__c",""
"a0qal00000CdJdkAAF","false","Collateral Search Results","a0sal000004PdLXAA0","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42679142240342848","LLC_BI__Collateral__c",""
"a0qal00000CdJdlAAF","false","Collateral Search Results","a0sal000004PdLnAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","false","","","","MappedSObjectScreenResource","","42679382770118020","LLC_BI__Collateral__c",""
"a0qal00000CdJdmAAF","false","Collateral Valuation","a0sal000004PdLtAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42683828209591215","LLC_BI__Collateral__c",""
"a0qVx00000Gm4bGIAR","false","Bulk Pledge Details","a0sVx000002iIV5IAM","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42686565868702713","LLC_BI__Loan_Collateral2__c",""
"a0qal00000CdJdnAAF","false","Collateral Valuation","a0sal000004PdLaAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42699376658931831","LLC_BI__Collateral__c",""
"a0qVx00000Gm4btIAB","false","Collateral Search Results","a0sVx000002iIV5IAM","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42709832714102949","LLC_BI__Collateral__c",""
"a0qal00000CdJdoAAF","false","Collateral Valuation","a0sal000004PdLsAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42719981069742436","LLC_BI__Collateral__c",""
"a0qal00000CdJdpAAF","false","Collateral Valuation","a0sal000004PdLoAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42724201043734643","LLC_BI__Collateral__c",""
"a0qal00000CdJdqAAF","false","Bulk Pledge Details","a0sal000004PdLpAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42745692644457605","LLC_BI__Loan_Collateral2__c",""
"a0qVx00000Gm4d2IAB","false","Collateral Search Results","a0sVx000002iISNIA2","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42756575715330971","LLC_BI__Collateral__c",""
"a0qVx00000Gm4d3IAB","false","Collateral Details","a0sal000004PdLcAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","true","","true","","","","MappedSObjectScreenResource","","42756644578938984","LLC_BI__Loan_Collateral2__c",""
