"Id","IsDeleted","Name","LastViewedDate","LastReferencedDate","nFORCE__Screen__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Number_of_Columns__c","nFORCE__Optional_Configuration__c","nFORCE__Parent_Screen_Section__c","nFORCE__Screen_View__c","nFORCE__Section_Resource__c","nFORCE__Validation_Service__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","Custom_Code_in_Screen_Section__c","nPortal__Portal_Header_Text__c","nPortal__Portal_Subheader_Text__c"
"a0qWE00000UydPDYAZ","false","DEP Personal Contact (Individual)1","","","a0sWE000002cbjtYAA","false","false","false","false","{{IF=/""A AND B/""}} {{COND=/""A/"" FIELD=/""Contact.cm_Is_Existing_Customer__c/"" IS=/""0/""}}{{COND=/""B/"" FIELD=/""Contact.LLC_BI__Identity_Verification_Status__c/"" NOT=/""Pass/""}}{{ENDIF}}","true","false","false","false","false","1000.0","slide","true","false","false","false","","true","","","","a0qWE00000Uye8MYAR","a16WE000009Uz98YAC","MappedSObjectScreenResource","","","09951641354325410","Contact","","",""
"a0qWE00000UNVjLYAX","false","SBL Primary Identification- Passport","","","a0sWE000002YqXvYAK","false","false","false","false","{{IF=""A""}}{{COND=""A"" FIELD=""Contact.cm_Primary_ID_Type__c"" IS=""Passport""}}{{ENDIF}}","false","false","false","false","false","80.0","slide","true","false","false","false","","true","","","","a0qWE00000UNVjgYAH","a16WE000008toxaYAA","MappedSObjectScreenResource","","","10271666029075339","Contact","","",""
"a0qWE00000USgnCYAT","false","Booked Information","","","a0sWE000002ZR0IYAW","false","false","false","false","","false","true","false","false","false","1.0","slide","true","false","false","false","","false","","","","","a16WE0000090lRjYAI","MappedSObjectScreenResource","","","10361585604341048","LLC_BI__Loan__c","","",""
"a0qWE00000UNVjMYAX","false","Mailing Address","","","a0sWE000002YqZHYA0","false","false","false","false","{{IF=/""A AND B AND C/""}}{{COND=/""A/"" FIELD=/""Contact.cm_Mailing_Same_as_Physical__c/"" IS=/""No/""}}{{COND=/""B/"" FIELD=/""Contact.cm_Is_Existing_Customer__c/"" IS=/""0/""}}{{COND=/""C/"" FIELD=/""Contact.LLC_BI__Identity_Verification_Status__c/"" NOT=/""Pass/""}}{{ENDIF}}","true","false","false","false","false","1645.0","slide","true","false","false","false","","true","","","","a0qWE00000UNVn8YAH","a16WE000008toz1YAA","MappedSObjectScreenResource","","","11051598553323932","Contact","","",""
"a0qWE00000UNVbPYAX","false","Underwriting_Overview","","","a0sWE000002YqPdYAK","false","false","false","false","","true","true","false","false","false","6.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","11151560278867256","LLC_BI__Loan__c","","",""
"a0qWE00000UydPSYAZ","false","DEP Primary Identification- Passport","","","a0sWE000002cb6pYAA","false","false","false","false","{{IF=/""A/""}}{{COND=/""A/"" FIELD=/""Contact.cs_Primary_ID_Type__c/"" IS=/""Passport/""}}{{ENDIF}}","false","false","false","false","false","1500.0","slide","true","false","false","false","","true","","","","a0qWE00000UyeBuYAJ","a16WE000009UzLMYA0","MappedSObjectScreenResource","","","11551641348179862","Contact","","",""
"a0qWE00000UNVbQYAX","false","Post Closing Review","","","a0sWE000002YqWBYA0","false","false","false","false","","true","true","false","false","false","1.0","slide","true","false","false","false","","true","","","","","a16WE000008tovpYAA","MappedSObjectScreenResource","","","11651585604341049","LLC_BI__Loan__c","","",""
"a0qWE00000UNVbRYAX","false","Loan Details","","","a0sWE000002YqWIYA0","false","false","false","false","","false","false","false","false","false","1.0","slide","true","false","false","false","","true","","","","","a16WE000008tp0OYAQ","MappedSObjectScreenResource","","","11841560278867257","LLC_BI__Loan__c","","",""
"a0qWE00000UNVjNYAX","false","Third Party Management","","","a0sWE000002YqZ3YAK","false","false","false","false","","true","true","false","false","false","0.0","slide","true","false","false","false","","true","","","","","","MappedSObjectHierarchyScreenResource","","","12291602764631667","LLC_BI__Loan__c","","",""
"a0qWE00000UNVjOYAX","false","Enhanced Fee Loan Aggregate Summary","","","a0sWE000002YqZJYA0","false","false","false","false","","true","true","false","false","false","20.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","12321602764631667","LLC_BI__Fee_Loan_Aggregate__c","","",""
"a0qWE00000UNVbSYAX","false","Relationship Add Debt","","","a0sWE000002YqgqYAC","false","false","false","false","","true","false","false","false","false","1.0","slide","true","false","false","false","","true","","2.0","","","","MappedSObjectScreenResource","","","12401562008947390","LLC_BI__Debt__c","","",""
"a0qWE00000UNVzoYAH","false","Booked Information","","","a0sWE000002YqgZYAS","false","false","false","false","","false","true","false","false","false","4.0","slide","true","false","false","false","","false","","","","","","MappedSObjectScreenResource","","","12571620937672164","LLC_BI__Loan__c","","",""
"a0qWE00000UNVbTYAX","false","Draw Overview Summary","","","a0sWE000002YqWJYA0","false","false","false","false","","true","true","false","false","false","1.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","12591620937672170","LLC_BI__Budget__c","","",""
"a0qWE00000UNVwcYAH","false","Booked Information","","","a0sWE000002Yqh3YAC","false","false","false","false","","false","true","false","false","false","4.0","slide","true","false","false","false","","false","","","","","a16WE000008towfYAA","MappedSObjectScreenResource","","","12721585604341049","LLC_BI__Loan__c","","",""
"a0qWE00000UNVjPYAX","false","Loan Compliances (HMDA Effective-2018)","","","a0sWE000002YqZGYA0","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","","","","","MappedSObjectHierarchyScreenResource","","","13251663700625413","LLC_BI__Loan__c","","",""
"a0qWE00000UydPmYAJ","false","Existing Customer? Hidden (Primary Applicant)","","","a0sWE000002cb6pYAA","false","false","false","false","","true","false","false","false","false","0.0","slide","true","false","false","false","","true","","","","","a16WE000009Uz99YAC","MappedSObjectScreenResource","","","13531641348179861","Contact","","",""
"a0qWE00000UydPrYAJ","false","Mobile","","","a0sWE000002cbl4YAA","false","false","false","false","{{IF=/""A AND B/""}} {{COND=/""A/"" FIELD=/""Contact.cm_Is_Existing_Customer__c/"" IS=/""0/""}}{{COND=/""B/"" FIELD=/""Contact.LLC_BI__Identity_Verification_Status__c/"" NOT=/""Pass/""}}{{ENDIF}}","false","false","false","false","false","850.0","slide","true","false","false","false","","true","","","","a0qWE00000Uye8fYAB","a16WE000009Uz8xYAC","MappedSObjectScreenResource","","","14211641831940775","Contact","","",""
"a0qWE00000UNVwdYAH","false","Enhanced Fees Management","","","a0sWE000002YqgeYAC","false","false","false","false","","true","true","false","false","false","0.0","slide","true","false","false","false","","true","","","","","","MappedSObjectHierarchyScreenResource","","","14331619447515161","LLC_BI__Loan__c","","",""
"a0qWE00000UNVjQYAX","false","SBL Business Info","","","a0sWE000002YqZ7YAK","false","false","false","false","","false","false","false","false","false","20.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","15021666029075345","Account","","",""
