"Id","OwnerId","IsDeleted","Name","nFORCE__Address_Part__c","nFORCE__Alternate_Label__c","nFORCE__Autocomplete_Attribute_Value__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Value__c","nFORCE__Defined_Picklist_Values__c","nFORCE__Field_Hint__c","nFORCE__Field_Name__c","nFORCE__Filter_Criteria__c","nFORCE__Filter_Display_Name__c","nFORCE__Format_Description__c","nFORCE__Format_Enabled__c","nFORCE__Format_Expression__c","nFORCE__Format_Message__c","nFORCE__Is_Active__c","nFORCE__Is_Conditional_Lookup__c","nFORCE__Is_Editable__c","nFORCE__Is_Filter_Active__c","nFORCE__Is_Header__c","nFORCE__Is_Hidden__c","nFORCE__Is_Important__c","nFORCE__Is_Read_Only__c","nFORCE__Is_Required__c","nFORCE__Output_Expression__c","nFORCE__SLDS_Column_Size__c","nFORCE__Screen_Section__c","nFORCE__Tooltip_Contents__c","nFORCE__Tooltip_Enabled__c","nFORCE__Tooltip_Text__c","nFORCE__lookupKey__c","nFORCE__sObject_Name__c","nPortal__Picklist_Buttons_Enabled__c"
"a0SWD000001m8IY2AY","005al00000RVcKvAAL","false","FC-002103","","","","","","","","Referral_Contact__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWFdoYAH","","false","","552347336243455","LLC_BI__Loan__c",""
"a0SWD000001m8IZ2AY","005al00000RVcKvAAL","false","FC-002104","","","","","","","","Referral_Company__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWIonYAH","","false","","5755234552234","LLC_BI__Loan__c",""
"a0SWD000001m8KC2AY","005al00000RVcKvAAL","false","FC-002205","","","","","","","","Name","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWFn6YAH","","false","","575766443567986","LLC_BI__Credit_Memo_Modifcation__c",""
"a0SWD000001m8cy2AA","005al00000RVcKvAAL","false","FC-002259","","","","","","","","LLC_BI__Approved_Loan_Amount__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWKEwYAP","","false","","57971663700626155","LLC_BI__Loan__c",""
"a0SWD000001m8CC2AY","005al00000RVcKvAAL","false","FC-001709","","","","","","","","LLC_BI__Total_Direct_Exposure__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWFZRYA5","","false","","58341602764632446","Account",""
"a0SWD000001m8cz2AA","005al00000RVcKvAAL","false","FC-002260","","","","","","","","LLC_BI__Total_Direct_Exposure__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWInSYAX","","false","","59711640791248637","Account",""
"a0SWD000001m8d02AA","005al00000RVcKvAAL","false","FC-002261","","","","","","","","CreatedDate","","","","false","","","false","false","false","false","false","true","false","true","false","","","a0qWD00000GWKExYAP","","false","","61601576590314417","Daily_Limit_Change__c",""
"a0SWD000001m8d12AA","005al00000RVcKvAAL","false","FC-002262","","","","","","","","Status__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWIlcYAH","","false","","64271576590651512","Daily_Limit_Change__c",""
"a0SWD000001m8d22AA","005al00000RVcKvAAL","false","FC-002263","","","","","","","","CreatedDate","","","","false","","","false","false","false","false","false","true","false","true","false","","","a0qWD00000GWIlcYAH","","false","","64861576590651512","Daily_Limit_Change__c",""
"a0SWD000001m8d32AA","005al00000RVcKvAAL","false","FC-002264","","","","","","","","Name","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWIlPYAX","","false","","64981575852601017","Daily_Limit_Change__c",""
"a0SWD000001m8d42AA","005al00000RVcKvAAL","false","FC-002265","","","","","","","","Current_Previous_Daily_Limit__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWKE7YAP","","false","","65561575852542652","Daily_Limit_Change__c",""
"a0SWD000001m8d52AA","005al00000RVcKvAAL","false","FC-002266","","","","","","","","CreatedDate","","","","false","","","false","false","false","false","false","true","false","true","false","","","a0qWD00000GWImsYAH","","false","","66151575852395873","Daily_Limit_Change__c",""
"a0SWD000001m8d62AA","005al00000RVcKvAAL","false","FC-002267","","","","","","","","Current_Previous_Daily_Limit__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWImsYAH","","false","","67321575852395874","Daily_Limit_Change__c",""
"a0SWD000001m8d72AA","005al00000RVcKvAAL","false","FC-002268","","","","","","","","Current_Previous_Daily_Limit__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWIomYAH","","false","","67771575852928274","Daily_Limit_Change__c",""
