"Id","IsDeleted","Name","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Filter_Criteria__c","nFORCE__Layout__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c"
"a0vWD00000BAKGXYA5","false","SC-000022891","a0qWD00000GWFs4YAH","3.01","LLC_BI__UI_HMDA_Entity_Compliance_2018","","","","false","a0vWD00000BAHBrYAP","LLC_BI__Entity_Compliances__r","Entity Compliance","","false","06051619447516050","LLC_BI__Entity_Compliance__c"
"a0vWD00000BAJTpYAP","false","SC-000020048","a0qWD00000GWJXXYA5","1.01","OA_Address","","a0bWD0000011UEPYA2","0.0","false","","","","","false","06131641354326464","Contact"
"a0vWD00000BAKGdYAP","false","SC-000022897","a0qWD00000GWImjYAH","2.02","TS_Order_Entry_UI","","","0.0","false","a0vWD00000BAJvnYAH","Equipment__r","","","false","06421576590314502","Equipment__c"
"a0vWD00000BAJcSYAX","false","SC-000020583","a0qWD00000GWInSYAX","1.01","SBL_Exposure_Details","","a0bWD0000011TYYYA2","0.0","false","","","","","false","06461640791248844","LLC_BI__Loan__c"
"a0vWD00000BAGmGYAX","false","SC-000017951","a0qWD00000GWFZwYAP","0.0","LLC_BI__Add_Income","","","","false","","","Add Income","","false","06621600720268231","LLC_BI__Income__c"
"a0vWD00000BAJcTYAX","false","SC-000020584","a0qWD00000GWIn9YAH","1.01","","","","","false","","","","","false","067D2D70_3459_4578_A06B_114373202526","LLC_BI__Loan__c"
"a0vWD00000BAKGeYAP","false","SC-000022898","a0qWD00000GWInqYAH","2.02","TS_OE_Online_Wire","","","0.0","false","a0vWD00000BAJcwYAH","LLC_BI__Analyzed_Accounts__r","","","false","06821576590651584","LLC_BI__Analyzed_Account__c"
"a0vWD00000BAKGfYAP","false","SC-000022899","a0qWD00000GWKFPYA5","2.02","TS_OE_ACH_Positive_Pay","","","0.0","false","a0vWD00000BAJdcYAH","LLC_BI__Analyzed_Accounts__r","","","false","06841576590282816","LLC_BI__Analyzed_Account__c"
"a0vWD00000BAJcUYAX","false","SC-000020585","a0qWD00000GWKD7YAP","1.01","TS_OE_ACH_Positive_Pay","","","0.0","false","","","","","false","07031576590282815","LLC_BI__Treasury_Service__c"
"a0vWD00000BAKGgYAP","false","SC-000022900","a0qWD00000GWKCbYAP","2.02","LLC_BI__UI_Beneficiary","","","","false","a0vWD00000BAJvbYAH","LLC_BI__Deposits__r","","","false","07275020_0102_4460_A051_2F3E5B5E7B5A","LLC_BI__Beneficiary__c"
"a0vWD00000BAGmHYAX","false","SC-000017952","a0qWD00000GWFcXYAX","1.01","","","","","false","","","Loan Relationship","","false","07361585311472189","LLC_BI__Loan__c"
"a0vWD00000BAGqeYAH","false","SC-000018223","a0qWD00000GWFf3YAH","1.01","","","a0bWD0000011TQmYAM","0.0","false","","","","","false","07691B0A7C6F4D2BA75D060F435A6C7D","LLC_BI__Loan__c"
"a0vWD00000BAGpbYAH","false","SC-000018158","a0qWD00000GWFdeYAH","1.01","","","a0bWD0000011TNnYAM","0.0","false","","","","","false","07901701790671951","LLC_BI__Deposit__c"
"a0vWD00000BAJcVYAX","false","SC-000020586","a0qWD00000GWKDoYAP","1.01","TS_OE_No_Check_Hold","","","0.0","false","","","","","false","07921576590611567","LLC_BI__Treasury_Service__c"
"a0vWD00000BAJcWYAX","false","SC-000020587","a0qWD00000GWIj7YAH","1.01","SBL_Manual_Underwriting","","a0bWD0000011TrKYAU","0.0","false","","","","","false","07971640791248844","LLC_BI__Loan__c"
"a0vWD00000BAJcXYAX","false","SC-000020588","a0qWD00000GWIm3YAH","1.01","NPORTAL__RL_Personal_SSN","","","","false","","","","","false","08021602078251892","Contact"
"a0vWD00000BAGmIYAX","false","SC-000017953","a0qWD00000GWFc6YAH","1.01","RequiredLoanFieldsToCreateRateOrPayment","","","0.0","false","","","","","false","08241585311472167","LLC_BI__Loan__c"
"a0vWD00000BAJcYYAX","false","SC-000020589","a0qWD00000GWKD3YAP","1.01","TS_OE_Online_Wire","","","0.0","false","","","","","false","08271575853423007","LLC_BI__Treasury_Service__c"
"a0vWD00000BAH59YAH","false","SC-000019122","a0qWD00000GWFs1YAH","0.0","LLC_BI__Payment_Component_Extended_Fields","","","","false","","","","","false","08271619447516047","LLC_BI__Pricing_Payment_Component__c"
"a0vWD00000BAGmJYAX","false","SC-000017954","a0qWD00000GWFcEYAX","0.0","LLC_BI__UI_CRA_Property_Location","","","","false","","","Property Location","","false","08661585311472160","LLC_BI__Loan__c"
"a0vWD00000BAGmKYAX","false","SC-000017955","a0qWD00000GWFbXYAX","1.01","SBL_Approver_2_Details","","a0bWD0000011TLzYAM","0.0","false","","","","","false","08911663700626421","LLC_BI__Loan__c"
"a0vWD00000BAGehYAH","false","SC-000017482","a0qWD00000GWFVwYAP","1.0","","","","","false","","","Change Memo","","false","08981560278867804","LLC_BI__Loan__c"
"a0vWD00000BAJcZYAX","false","SC-000020590","a0qWD00000GWKCiYAP","1.01","TS_OE_Approval_Section","","","0.0","false","","","","","false","08981576590190176","LLC_BI__Treasury_Service__c"
"a0vWD00000BAGzeYAH","false","SC-000018781","a0qWD00000GWFnCYAX","1.01","","","","","false","","","Loan Compliance","","false","09111619447516050","LLC_BI__Loan__c"
"a0vWD00000BAJcaYAH","false","SC-000020591","a0qWD00000GWKYNYA5","1.01","Deposit_Account_Funding_Field_Set","","","","false","","","","","false","091258127518125","LLC_BI__Funding_Method__c"
"a0vWD00000BAH5AYAX","false","SC-000019123","a0qWD00000GWFn2YAH","1.01","UI_Loan_Compliance_Certifications","","a0bWD0000011TTSYA2","0.0","false","","","","","false","09371619447516043","LLC_BI__Loan__c"
"a0vWD00000BAHBUYA5","false","SC-000019475","a0qWD00000GWFnRYAX","2.0","LLC_BI__UI_HMDA_Demographic_Questions","","","","false","a0vWD00000BAH0PYAX","LLC_BI__Legal_Entities__r","HMDA","","false","09401615577847196","LLC_BI__Legal_Entities__c"
"a0vWD00000BAGmLYAX","false","SC-000017956","a0qWD00000GWFZHYA5","0.0","nRetail__Asset_Schedule","","","","false","","","Asset Schedule","","false","09511602764632531","nRetail__Asset__c"
"a0vWD00000BAHA7YAP","false","SC-000019390","a0qWD00000GWFf3YAH","2.01","UI_Fees","","a0bWD0000011TT9YAM","0.0","false","a0vWD00000BAGqeYAH","LLC_BI__Fees__r","","","false","09522E18763640678C21721310133B59","LLC_BI__Fee__c"
"a0vWD00000BAGqfYAH","false","SC-000018224","a0qWD00000GWFf4YAH","1.01","","","a0bWD0000011TQqYAM","0.0","false","","","","","false","0B2C68057F294E5D8C504E6D19467035","LLC_BI__Loan__c"
