"Id","IsDeleted","Name","nFORCE__Screen__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Section_Resource__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Parent_Screen_Section__c","nFORCE__Number_of_Columns__c","Custom_Code_in_Screen_Section__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Validation_Service__c","AutorabitExtId__c"
"a2FKU0000004vkj2AA","false","Approver 1 Details","a2GKU0000004WDU2A2","false","false","true","false","false","20.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","23201602764631673","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDbVMAW"
"a2FKU0000004vnK2AQ","false","Decision_Overview","a2GKU0000004W902AE","false","false","true","true","false","7.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","23261560278867256","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDeDMAW"
"a2FKU0000004vn82AA","false","Debt Schedule","a2GKU0000004WDP2A2","false","false","false","true","false","0.0","slide","false","false","false","false","","false","","MappedSObjectScreenResource","","23511602764631668","LLC_BI__Debt__c","false","false","","","","","false","false","","a2FKa000000SDe1MAG"
"a2FKU0000004vqc2AA","false","Loan Details","a2GKU0000004WAn2AM","false","false","true","true","false","0.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","23571619447515178","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDhZMAW"
"a2FKU0000004vjI2AQ","false","Add Non Standard Fee","a2GKU0000004WB72AM","false","false","true","true","false","1.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","23901620937672154","LLC_BI__Fee__c","false","false","","","","","false","false","","a2FKa000000SDa3MAG"
"a2FKU0000004vqr2AA","false","Loan Information","a2GKU0000004WAk2AM","false","false","true","true","false","0.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","24041619447515176","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDhoMAG"
"a2FKU0000004vxP2AQ","false","UI Collateral Record Schedule","a2GKU0000004W8z2AE","false","false","false","false","false","","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","24131560278867308","LLC_BI__Loan_Collateral2__c","false","false","","","","","false","false","","a2FKa000000SDoYMAW"
"a2FKU0000004vmE2AQ","false","Collateral Summary","a2GKU0000004WKa2AM","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","MappedSObjectScreenResource","","243019812380198293","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDd2MAG"
"a2FKU0000004vur2AA","false","Property Location","a2GKU0000004WA02AM","false","false","true","true","false","2.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","24751585604341050","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDlvMAG"
"a2FKU0000004vic2AA","false","Add Asset","a2GKU0000004W902AE","false","false","true","true","false","4.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","25181560278867254","nRetail__Asset__c","false","false","","","","","false","false","","a2FKa000000SDZNMA4"
"a2FKU0000004vlE2AQ","false","Balance Details","a2GKU0000004WAh2AM","false","false","false","true","false","3.0","slide","true","false","false","false","","false","","MappedSObjectScreenResource","","25201619447515174","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDc0MAG"
