"Id","OwnerId","IsDeleted","Name","nFORCE__App__c","nFORCE__lookupKey__c","nFORCE__Default_Collapse_Parent_Navigation__c","nFORCE__Is_Archived__c","nFORCE__Is_Questionnaire__c","nFORCE__Parent_Group__c","nFORCE__Screen__c","nFORCE__Taxonomy_Id__c","nFORCE__Category__c","nFORCE__Layout__c","nFORCE__Answer_Context__c","Description_Custom__c","nFORCE__Description__c","AutorabitExtId__c"
"a2BKU0000009wuS2AQ","0058c00000BxeO9AAJ","false","Test","tmmg-Test00-00","42511983079847080","false","false","false","","a2GKU0000004W852AE","tmmg-Test00-00","","","","","",""
"a2BKU0000009wws2AA","0058c00000BxeO9AAJ","false","Consumer Loan Application","Portal-Consumerloan","42514900743257265","false","false","false","","","","Online Application","a2CKU0000009qC02AI","","","",""
"a2BKU0000009wx82AA","0058c00000BxeO9AAJ","false","Loan - Leasing Finance","loan-leasing1","42515921512498608","false","false","false","","a2GKU0000004WEi2AM","","","","","","",""
"a2BKU0000009wuI2AQ","0058c00000BxeO9AAJ","false","zzzSession (Not Used) - Unsecured Term Loan","term","42522017816930892","false","false","false","","","term","","","","Packaged - Do not use as this is not maintained (Summer 19)","",""
"a2BKU0000009wwv2AA","0058c00000BxeO9AAJ","false","Residential Mortgage Refinance","res-mtg-refi","42523876387995300","false","false","false","","","","","","","","",""
"a2BKU0000009wwd2AA","0058c00000BxeO9AAJ","false","OB Security Tokens","tmmg-OBSecurityTokens00-00","42529052326675346","false","false","false","","a2GKU0000004WEV2A2","","","","","","",""
"a2BKU0000009wu42AA","0058c00000BxeO9AAJ","false","Product Package Details","pp-details","42543592196307027","false","false","false","","","pp-details","","","","","",""
"a2BKU0000009wuq2AA","0058c00000BxeO9AAJ","false","nCino UI Builder","uiconfig","42557072293211678","false","false","false","","a2GKU0000004W872AE","uiconfig","","","","","",""
"a2BKU0000009wuY2AQ","0058c00000BxeO9AAJ","false","Deposit Beneficiary Maintenance","dep-pm-beneficiary","42557821139915648","false","false","false","","","dep-pm-beneficiary","","","","","",""
"a2BKU0000009wvv2AA","0058c00000BxeO9AAJ","false","ATM Card","tmmg-ATMCard00-00","42566272836805749","false","false","false","","a2GKU0000004WDm2AM","","","","","","",""
"a2BKU0000009wwg2AA","0058c00000BxeO9AAJ","false","OB Account Analysis","tmmg-OBAccountAnalysis00-00","42578665056335882","false","false","false","","a2GKU0000004WEY2A2","","","","","","",""
"a2BKU0000009wxu2AA","0058c00000BxeO9AAJ","false","LOE-Loan-Post-SBA-Conventional","loe-loanpost","42579924154253314","false","false","false","","","","","","","","",""
