"Id","IsDeleted","Name","nFORCE__Screen__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Number_of_Columns__c","nFORCE__Optional_Configuration__c","nFORCE__Parent_Screen_Section__c","nFORCE__Section_Resource__c","nFORCE__Validation_Service__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","Custom_Code_in_Screen_Section__c","AutorabitExtId__c","nFORCE__Screen_View__c","nFORCE__Widget__c","nPortal__Portal_Header_Text__c","nPortal__Portal_Subheader_Text__c"
"a0qWD00000GT97yYAD","false","Loans","a0sWD00000XoC5IYAV","false","false","false","false","","true","true","false","false","false","1.0","slide","true","false","false","false","","true","","","","","ReferenceFilteredHierarchyScreenResource","","a2F5g0000000G75EAE","Account","","","","","",""
"a0qWD00000GT97zYAD","false","Ongoing Servicing","a0sWD00000XoC6BYAV","false","false","false","false","","true","true","false","false","false","1.0","slide","true","false","false","false","","true","","","","","MappedSObjectHierarchyScreenResource","","a2F5g0000000G78EAE","Account","","","","","",""
"a0qWD00000GT980YAD","false","Opportunities","a0sWD00000XoC5JYAV","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","false","","","","","MappedSObjectHierarchyScreenResource","","a2F5g0000000G79EAE","Account","","","","","",""
"a0qWD00000GT981YAD","false","Order Entry-Remote-Deposit","a0sWD00000XoC58YAF","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","","MappedSObjectScreenResource","","a2F5g0000000G7AEAU","LLC_BI__Treasury_Service__c","","","","","",""
"a0qWD00000GT982YAD","false","Order Entry-Retail-Lockbox","a0sWD00000XoC59YAF","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","","MappedSObjectScreenResource","","a2F5g0000000G7BEAU","LLC_BI__Treasury_Service__c","","","","","",""
"a0qWD00000GT983YAD","false","Order Entry-Wire-Transfer","a0sWD00000XoC5AYAV","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","","MappedSObjectScreenResource","","a2F5g0000000G7CEAU","LLC_BI__Treasury_Service__c","","","","","",""
"a0qWD00000GT984YAD","false","Other","a0sWD00000XoC5vYAF","false","false","false","false","","true","false","false","false","false","4.0","slide","true","false","false","false","","true","","","","","MappedSObjectScreenResource","","a2F5g0000000G7EEAU","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT985YAD","false","Other Information","a0sWD00000XoC5KYAV","false","false","false","false","","true","true","false","false","false","1.0","slide","true","false","false","false","","true","","","","","MappedSObjectHierarchyScreenResource","","a2F5g0000000G7FEAU","Account","","","","","",""
"a0qWD00000GT986YAD","false","Other Information","a0sWD00000XoC6CYAV","false","false","false","false","","true","true","false","false","false","1.0","slide","true","false","false","false","","true","","","","","MappedSObjectHierarchyScreenResource","","a2F5g0000000G7GEAU","Account","","","","","",""
"a0qWD00000GT987YAD","false","Overview","a0sWD00000XoC5GYAV","false","false","false","false","","true","true","false","false","false","1.0","slide","true","false","false","false","","true","","","","","MappedSObjectHierarchyScreenResource","","a2F5g0000000G7HEAU","Account","","","","","",""
"a0qWD00000GT988YAD","false","Overview","a0sWD00000XoC6DYAV","false","false","false","false","","true","true","false","false","false","1.0","slide","true","false","false","false","","true","","","","","MappedSObjectHierarchyScreenResource","","a2F5g0000000G7IEAU","Account","","","","","",""
"a0qWD00000GT989YAD","false","Partner","a0sWD00000XoC5rYAF","false","false","false","false","","true","true","false","false","false","0.0","slide","true","false","false","false","","true","","","","","MappedSObjectHierarchyScreenResource","","a2F5g0000000G7KEAU","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT98AYAT","false","Policy Exceptions","a0sWD00000XoC6EYAV","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","","","","MappedSObjectHierarchyScreenResource","","a2F5g0000000G7LEAU","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT98BYAT","false","Pricing","a0sWD00000XoC5qYAF","false","false","false","false","","true","true","false","false","false","1.0","slide","true","false","false","false","","true","","","","","MappedSObjectScreenResource","","a2F5g0000000G7MEAU","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT98CYAT","false","Pricing Information","a0sWD00000XoC5xYAF","false","false","false","false","","true","false","false","false","false","1.0","slide","true","false","false","false","","true","","","","","MappedSObjectScreenResource","","a2F5g0000000G7OEAU","LLC_BI__Loan__c","","","","","",""
