"Id","IsDeleted","Name","LastViewedDate","LastReferencedDate","nFORCE__Screen__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Number_of_Columns__c","nFORCE__Optional_Configuration__c","nFORCE__Parent_Screen_Section__c","nFORCE__Section_Resource__c","nFORCE__Validation_Service__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","Custom_Code_in_Screen_Section__c","AutorabitExtId__c"
"a0qWD00000GTAWTYA5","false","Collateral Details","","","a0sWD00000XoBs3YAF","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","true","","true","","","","MappedSObjectScreenResource","","42607265308893146","LLC_BI__Loan_Collateral2__c","",""
"a0qWD00000GSmiXYAT","false","Bulk Pledge Details","","","a0sWD00000Xnse3YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42611864134409575","LLC_BI__Loan_Collateral2__c","",""
"a0qWD00000GSmiYYAT","false","Bulk Pledge Details","","","a0sWD00000XnseGYAR","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42615334647610688","LLC_BI__Loan_Collateral2__c","",""
"a0qWD00000GSmiZYAT","false","Collateral Search Results","","","a0sWD00000Xnse1YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42629025865407762","LLC_BI__Collateral__c","",""
"a0qWD00000GSmiaYAD","false","Collateral Valuation","","","a0sWD00000XnseDYAR","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42636758536657529","LLC_BI__Collateral__c","",""
"a0qWD00000GSmibYAD","false","Bulk Pledge Details","","","a0sWD00000Xnse8YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42637226840552638","LLC_BI__Loan_Collateral2__c","",""
"a0qWD00000GSmicYAD","false","Collateral Search Results","","","a0sWD00000XnseHYAR","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42646748815427008","LLC_BI__Collateral__c","",""
"a0qWD00000GSmidYAD","false","Bulk Pledge Details","","","a0sWD00000XnsdzYAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42649800298279122","LLC_BI__Loan_Collateral2__c","",""
"a0qWD00000GSmieYAD","false","Collateral Search Results","","","a0sWD00000XnseEYAR","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42672268055648249","LLC_BI__Collateral__c","",""
"a0qWD00000GSmifYAD","false","Collateral Search Results","","","a0sWD00000XnsdwYAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42679142240342848","LLC_BI__Collateral__c","",""
