"Id","OwnerId","IsDeleted","Name","LLC_BI__Category__c","LLC_BI__lookupKey__c"
"a3Ybn0000004xJMEAY","005bn000003k2JdAAI","","Debt Service 2nd Mortgage Only","Accounting Grid (Income Statement)","Debt_Service_2nd_Mortgage_Only_ACCTGRD"
"a3Ybn0000004xJUEAY","005bn000003k2JdAAI","","Debt Service 3","Accounting Grid (Other)","Debt_Service_3_ACCTGRD"
"a3Ybn0000004xGJEAY","005bn000003k2JdAAI","","Debt Service - Existing","Accounting Grid (Individual)","Debt_Service_Existing_ACCTGRD"
"a3Ybn0000004xGKEAY","005bn000003k2JdAAI","","Debt Service - New","Accounting Grid (Individual)","Debt_Service_New_ACCTGRD"
"a3Ybn0000004xIIEAY","005bn000003k2JdAAI","","Debt to Capital","Accounting Grid (Ratios/Stats)","Debt_to_Capital_ACCTGRD"
"a3Ybn0000004xGwEAI","005bn000003k2JdAAI","","Def Inc Tax Recover - CP","Accounting Grid (Balance Sheet)","Def_Inc_Tax_Recover_CP_ACCTGRD"
"a3Ybn0000004xHbEAI","005bn000003k2JdAAI","","Def Inc Tax Recover - LTP","Accounting Grid (Balance Sheet)","Def_Inc_Tax_Recover_LTP_ACCTGRD"
"a3Ybn0000004xH8EAI","005bn000003k2JdAAI","","Deferred Fed Inc Tax - CP","Accounting Grid (Balance Sheet)","Deferred_Fed_Inc_Tax_CP_ACCTGRD"
"a3Ybn0000004xGXEAY","005bn000003k2JdAAI","","Deferred Income Tax","Accounting Grid (Income Statement)","Deferred_Income_Tax_ACCTGRD"
"a3Ybn0000004xHNEAY","005bn000003k2JdAAI","","Deferred Income Tax - LTP","Accounting Grid (Balance Sheet)","Deferred_Income_Tax_LTP_ACCTGRD"
"a3Ybn0000004xIOEAY","005bn000003k2JdAAI","","Deferred Interest","Accounting Grid (Balance Sheet)","Deferred_Interest_ACCTGRD"
"a3Ybn0000004xHMEAY","005bn000003k2JdAAI","","Deferred Revenue","Accounting Grid (Balance Sheet)","Deferred_Revenue_ACCTGRD"
"a3Ybn0000004xEWEAY","005bn000003k2JdAAI","","Depreciation Addback","Accounting Grid (AG Owner Operator)","Depreciation_Addback_ACCTGRD"
"a3Ybn0000004xJkEAI","005bn000003k2JdAAI","","Depreciation Expense","Accounting Grid (Income Statement)","Depreciation_Expense_ACCTGRD"
"a3Ybn0000004xIpEAI","005bn000003k2JdAAI","","Derivative Assets - CP","Accounting Grid (Balance Sheet)","Derivative_Assets_CP_ACCTGRD"
"a3Ybn0000004xISEAY","005bn000003k2JdAAI","","Derivative Assets - LTP","Accounting Grid (Balance Sheet)","Derivative_Assets_LTP_ACCTGRD"
"a3Ybn0000004xIbEAI","005bn000003k2JdAAI","","Derivative Liabilities - LTP","Accounting Grid (Balance Sheet)","Derivative_Liabilities_LTP_ACCTGRD"
"a3Ybn0000004xD8EAI","005bn000003k2JdAAI","","Distributions/Withdrawals","Accounting Grid (Income Statement)","DistributionsWithdrawals_ACCTGRD"
"a3Ybn0000004xDoEAI","005bn000003k2JdAAI","","Dividend Payout Rate","Accounting Grid (Ratios/Stats)","Dividend_Payout_Rate_ACCTGRD"
"a3Ybn0000004xFpEAI","005bn000003k2JdAAI","","Dividends Paid","Accounting Grid (Cash Accounting)","Dividends_Paid_ACCTGRD"
"a3Ybn0000004xH7EAI","005bn000003k2JdAAI","","Dividends Payable","Accounting Grid (Balance Sheet)","Dividends_Payable_ACCTGRD"
"a3Ybn0000004xInEAI","005bn000003k2JdAAI","","Due from Officers/Stkhldr LTP","Accounting Grid (Balance Sheet)","Due_from_OfficersStkhldr_LTP_ACCTGRD"
"a3Ybn0000004xHmEAI","005bn000003k2JdAAI","","Due from Officers/Stockholders - CP","Accounting Grid (Balance Sheet)","Due_from_OfficersStockholders_CP_ACCTGRD"
