"Id","IsDeleted","Name","OwnerId","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Show_Link_To_Context_Object__c","nFORCE__lookupKey__c","nPortal__Add_Multi_Record_Display_Icon__c","nPortal__Maximum_Number_of_Records__c","nPortal__Minimum_Number_of_Records__c","nPortal__OA_Review_Multiple_Record_Entry_Label__c","AutorabitExtId__c"
"a2Gbn000000kG3XEAU","","Approval Details","005bn000003k2JdAAI","false","false","true","23611640791247590","","","","",""
"a2Gbn000000mZAZEA2","","Underwriting Details1","005bn000003k2JdAAI","false","false","true","23681602764631366","","","","",""
"a2Gbn000000kG3QEAU","","Enhanced Fees Management","005bn000003k2JdAAI","false","false","true","23851640791247588","","","","",""
"a2Gbn000000hcgVEAQ","","Rate & Payment Structure","005bn000003k2JdAAI","false","false","true","24751619447514588","","","","",""
"a2Gbn000000hcgaEAA","","Risk Rating","005bn000003k2JdAAI","false","false","true","25211620937671559","","","","",""
"a2Gbn000000hcfrEAA","","Balance Details Booked","005bn000003k2JdAAI","false","false","true","25741585604340854","","","","",""
"a2Gbn000000hcg5EAA","","Enhanced Fees Management","005bn000003k2JdAAI","false","false","true","25961619447514580","","","","",""
"a2Gbn000000kG3wEAE","","Other Expenses","005bn000003k2JdAAI","false","false","true","26701666029074783","","","","",""
"a2Gbn000000hcgLEAQ","","Borrowing Structure Information","005bn000003k2JdAAI","false","false","true","27381619447514580","","","","",""
"a2Gbn000000hcgGEAQ","","Collateral2","005bn000003k2JdAAI","false","false","true","27781619447514580","","","","",""
"a2Gbn000000hch4EAA","","Loan Details","005bn000003k2JdAAI","false","false","true","28631620937671566","","","","",""
"a2Gbn000000hcgeEAA","","Enhanced Fees Management","005bn000003k2JdAAI","false","false","true","28731620937671557","","","","",""
"a2Gbn000000hceYEAQ","","Loan Team Member Information","005bn000003k2JdAAI","false","false","true","28761585604340855","","","","",""
"a2Gbn000000kG3eEAE","","Enhanced Fees Management","005bn000003k2JdAAI","false","false","true","29231663700624862","","","","",""
"a2Gbn000000hcgiEAA","","Approved Details","005bn000003k2JdAAI","false","false","true","29281620937671561","","","","",""
"a2Gbn000000hcgzEAA","","Manage Budget Screen","005bn000003k2JdAAI","false","false","true","29611620937671565","","","","",""
"a2Gbn000000hcbXEAQ","","Editable Fields","005bn000003k2JdAAI","false","false","true","30481620937671566","","","","",""
"a2Gbn000000kG3gEAE","","Underwriting Details1","005bn000003k2JdAAI","false","false","true","31001663700624862","","","","",""
"a2Gbn000000hcgnEAA","","Balance Details","005bn000003k2JdAAI","false","false","true","31161620937671562","","","","",""
"a2Gbn000000hcgpEAA","","Collateral2","005bn000003k2JdAAI","false","false","true","31331620937671558","","","","",""
"a2Gbn000000hcgkEAA","","Pricing Approved","005bn000003k2JdAAI","false","false","true","31801620937671562","","","","",""
"a2Gbn000000hcdMEAQ","","Collateral2","005bn000003k2JdAAI","false","false","true","32281560278867079","","","","",""
"a2Gbn000000mZANEA2","","Third Party Management","005bn000003k2JdAAI","false","false","true","32571600720267875","","","","",""
"a2Gbn000000mZAHEA2","","ReviewSubmitDeposit","005bn000003k2JdAAI","false","false","false","32784779_5423_4348_B702_0A3978035931","","","","",""
"a2Gbn000000hcgqEAA","","CRA Screen","005bn000003k2JdAAI","false","false","true","33681620937671563","","","","",""
"a2Gbn000000hcg0EAA","","Certifications","005bn000003k2JdAAI","false","false","true","33961619447514579","","","","",""
"a2Gbn000000hceIEAQ","","Approved Details","005bn000003k2JdAAI","false","false","true","34361585604340855","","","","",""
"a2Gbn000000kG4zEAE","","SBL OA Real Estate Screen","005bn000003k2JdAAI","false","false","true","3456789643451","","","","",""
"a2Gbn000000kG3ZEAU","","Adverse Actions/Counter Offers","005bn000003k2JdAAI","false","false","true","35151640791247591","","","","",""
"a2Gbn000000hcg7EAA","","Fees Approved","005bn000003k2JdAAI","false","false","true","36611619447514582","","","","",""
"a2Gbn000000mZA0EAM","","Deposit Details","005bn000003k2JdAAI","false","true","true","36861701790670787","","","","",""
"a2Gbn000000mZAdEAM","","Approval Details","005bn000003k2JdAAI","false","false","true","37541602764631367","","","","",""
"a2Gbn000000kG3UEAU","","Credit Authorization/Joint Intent","005bn000003k2JdAAI","false","false","true","37941640791247589","","","","",""
"a2Gbn000000hcgBEAQ","","Pricing Approved","005bn000003k2JdAAI","false","false","true","38031619447514583","","","","",""
"a2Gbn000000hcflEAA","","Supplementary Details","005bn000003k2JdAAI","false","false","true","38211585604340854","","","","",""
"a2Gbn000000kG3lEAE","","Loan Team","005bn000003k2JdAAI","false","false","true","39231663700624864","","","","",""
"a2Gbn000000kG3PEAU","","Collateral Summary","005bn000003k2JdAAI","false","false","true","39781640791247588","","","","",""
"a2Gbn000000hce6EAA","","Collateral Value","005bn000003k2JdAAI","false","false","true","40481585604340855","","","","",""
"a2Gbn000000hcgDEAQ","","Loan Team Member Information","005bn000003k2JdAAI","false","false","true","40541619447514584","","","","",""
"a2Gbn000000hcgwEAA","","Entity Compliance Screen","005bn000003k2JdAAI","false","false","true","40861620937671564","","","","",""
