"Id","OwnerId","IsDeleted","Name","nFORCE__Answer_Context__c","nFORCE__App__c","nFORCE__Category__c","nFORCE__Default_Collapse_Parent_Navigation__c","nFORCE__Description__c","nFORCE__Is_Archived__c","nFORCE__Is_Questionnaire__c","nFORCE__Layout__c","nFORCE__Parent_Group__c","nFORCE__Screen__c","nFORCE__Taxonomy_Id__c","nFORCE__lookupKey__c","Description_Custom__c","AutorabitExtId__c","nPortal__Context_Type__c","nPortal__Is_Portal_Enabled__c","ChexSystems_route__c"
"a0XWD000002hCCM2A2","005al00000RVvFOAA1","false","MASTER-Loan - Retail","","m-retail","","false","","false","false","","","","m-retail","80561560278865441","","","","",""
"a0XWD000002hCCN2A2","005al00000RVvFOAA1","false","Small Business Loan Post Approval UI","","small-business-loan-post-approval-ui","","false","The productized route group includes the retail route templates required for a faster configuration and implementation  experience. Users must clone this group as needed for each loan product type as this specific route group is template-only.","false","false","","","","retail-loan-ui","88091663700612060","","","","",""
"a0XWD000002hCCO2A2","005al00000RVvFOAA1","false","Retail Loan- Post Approval UI","","retail-loan--post-approval-ui","","false","The productized route group includes the retail route templates required for a faster configuration and implementation  experience. Users must clone this group as needed for each loan product type as this specific route group is template-only.","false","false","","","","retail-loan--post-approval-ui","89621602764612697","","","","",""
"a0XWD000002hCCR2A2","005al00000RVvFOAA1","false","Secured Retail Loan Online Application","Loan","secured-retail-loan-online-application","Online Application","false","","false","false","a0bWD0000011L6rYAE","","","secured-retail-loan-online-application","95231602078250452","","","","",""
"a0XWD000002hCDJ2A2","005al00000RVvFOAA1","false","MASTER-Treasury Services","","master-treasury-services","","false","","false","false","","","","master-treasury-services","95821567002558847","","","","",""
"a0XWD000002hCCS2A2","005al00000RVvFOAA1","false","Retail Loan UI","","retail-loan-ui","","false","The productized route group includes the retail route templates required for a faster configuration and implementation  experience. Users must clone this group as needed for each loan product type as this specific route group is template-only.","false","false","","","","retail-loan-ui","96991600720267323","","","","",""
"a0XWD000002hCDO2A2","005al00000RVvFOAA1","false","Session (MASTER) - HELOC Loan","","heloc-loan-grp","","false","","false","false","","","","heloc-loan-grp","NotHelocSpecific-UseforAllRetail","Packaged - This is 1 of 4 packaged Groups used for Retail.  As a Gold Standard, this is the baseline to clone and begin configuration.  The other 3 Session Groups are not maintained at this time (Summer 19)","","","",""
"a2Bbn000000KMCUEA4","005bn000003k2JdAAI","","Small Business Loan UI","","","","","","","","","small-business-loan-ui","","false","The productized route group includes the retail route templates required for a faster configuration and implementation  experience. Users must clone this group as needed for each loan product type as this specific route group is template-only.","false","false","","","","retail-loan-ui","58141640791244050","","","","false",""
"a0XWD000002hCDK2A2","005al00000RVvFOAA1","false","Deal Management Workspace: Loan","","dmw-group-loan","","false","","false","false","","","","","dmwui-42926525468","","","","",""
"a0XWD000002hCDL2A2","005al00000RVvFOAA1","false","Deal Management Workspace: Treasury","","dmw-group-treasury","","false","","false","false","","","","","dmwui-42947458925","","","","",""
"a0XWD000002hCDN2A2","005al00000RVvFOAA1","false","New Relationship","","new-relationship","","false","","false","false","","","","new-relationship","new-relationship","","","","",""
"a0XWD000002hCDP2A2","005al00000RVvFOAA1","false","Relationship Loans Treegrid","","relationship-loans-treegrid","","false","","false","false","","","","relationship-loans-treegrid","rcaui-42318683902","","","","",""
"a0XWD000002hCCc2AM","005al00000RVvFOAA1","false","Small Business Loan - Business - KYC","Loan","small-business-loan-bus-kyc","Online Application","false","","false","true","","","","","small-business-loan-bus-kyc","","","","",""
"a0XWD000002hCCd2AM","005al00000RVvFOAA1","false","Small Business Loan Application (Individual Other Involved)","","small-business-loan-individual-online-application-other-involved","Online Application","false","","false","false","","a0XWD000002hCBw2AM","","portal-sbl-ind-other","small-business-loan-individual-online-application-other-involved","","","","",""
