"Id","IsDeleted","Name","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Filter_Criteria__c","nFORCE__Layout__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Screen_Section__c","nFORCE__Section_Header__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c"
"a0vWD00000B9lVSYAZ","false","SC-000027511","4.0","LLC_BI__Treasury_Mass_Actions_Deposits","LLC_BI__Analyzed_Account_Type__c = DDA","","50.0","true","a0vWD00000B9irmYAB","LLC_BI__Deposit_Reference__r","a0qWD00000GSgKlYAL","Select deposits from the account or connected accounts to add as analyzed accounts.","","false","42026176072069606464","LLC_BI__Deposit__c"
"a0vWD00000B9irnYAB","false","SC-000022306","3.0","LLC_BI__Treasury_Mass_Actions_Analyzed_Accounts","LLC_BI__Analyzed_Account_Type__c = DDA","","","false","a0vWD00000B9iFFYAZ","LLC_BI__Analyzed_Accounts__r","a0qWD00000GSgKiYAL","","","false","4202617607206960647","LLC_BI__Analyzed_Account__c"
"a0vWD00000B9lVTYAZ","false","SC-000027512","4.0","LLC_BI__Treasury_Mass_Actions_Deposits","LLC_BI__Analyzed_Account_Type__c = DDA","","50.0","true","a0vWD00000B9irnYAB","LLC_BI__Deposit_Reference__r","a0qWD00000GSgKiYAL","Select deposits from the account or connected accounts to add as analyzed accounts.","","false","4202617607206960648","LLC_BI__Deposit__c"
"a0vWD00000B9iFHYAZ","false","SC-000020058","2.0","","","","","false","","","a0qWD00000GSgKmYAL","","","false","4202617607206960650","LLC_BI__Treasury_Service__c"
"a0vWD00000B9iroYAB","false","SC-000022307","3.0","LLC_BI__Treasury_Mass_Actions_Authorized_Users","","","","false","a0vWD00000B9iFHYAZ","LLC_BI__Authorized_Users__r","a0qWD00000GSgKmYAL","","","false","4202617607206960651","LLC_BI__Authorized_User__c"
"a0vWD00000B9lVUYAZ","false","SC-000027513","4.0","LLC_BI__Treasury_Mass_Actions_Contacts","","","50.0","true","a0vWD00000B9iroYAB","LLC_BI__Contact_Reference__r","a0qWD00000GSgKmYAL","Select contacts from the account or connected accounts to add as authorized users.","","false","4202617607206960652","Contact"
"a0vWD00000B9iFIYAZ","false","SC-000020059","2.0","","","","","false","","","a0qWD00000GSgKoYAL","","","false","4202617607206960654","LLC_BI__Treasury_Service__c"
"a0vWD00000B9irpYAB","false","SC-000022308","3.0","LLC_BI__Treasury_Mass_Actions_Analyzed_Accounts","LLC_BI__Analyzed_Account_Type__c = DDA","","","false","a0vWD00000B9iFIYAZ","LLC_BI__Analyzed_Accounts__r","a0qWD00000GSgKoYAL","","","false","4202617607206960655","LLC_BI__Analyzed_Account__c"
"a0vWD00000B9lVVYAZ","false","SC-000027514","4.0","LLC_BI__Treasury_Mass_Actions_Deposits","LLC_BI__Analyzed_Account_Type__c = DDA","","50.0","true","a0vWD00000B9irpYAB","LLC_BI__Deposit_Reference__r","a0qWD00000GSgKoYAL","Select deposits from the account or connected accounts to add as analyzed accounts.","","false","4202617607206960656","LLC_BI__Deposit__c"
"a0vWD00000B9iFJYAZ","false","SC-000020060","2.0","","","","","false","","","a0qWD00000GSgKpYAL","","","false","4202617607206960658","LLC_BI__Treasury_Service__c"
