"Id","OwnerId","IsDeleted","Name","nFORCE__Condition__c","nFORCE__Conditional_Question__c","nFORCE__Option__c","nFORCE__Question__c","nFORCE__lookupKey__c"
"a0dWE00000ECotMYAT","005al00000RVcKvAAL","false","OR-000960","equal to","a0gWE000001WJ6dYAG","a0eWE000005K24eYAC","a0gWE000001WJ6bYAG","a2Q3g000000TPFmEAO"
"a0dWE00000ECotNYAT","005al00000RVcKvAAL","false","OR-000961","equal to","a0gWE000001WJ6cYAG","a0eWE000005K24gYAC","a0gWE000001WJ6dYAG","a2Q3g000000TPFnEAO"
"a0dWE00000ECotOYAT","005al00000RVcKvAAL","false","OR-000962","equal to","a0gWE000001WJ82YAG","a0eWE000005K27GYAS","a0gWE000001WJ6cYAG","a2Q3g000000TPFoEAO"
"a0dWE00000ECotPYAT","005al00000RVcKvAAL","false","OR-000963","equal to","a0gWE000001WJ84YAG","a0eWE000005K27HYAS","a0gWE000001WJ82YAG","a2Q3g000000TPFpEAO"
"a0dWE00000ECotQYAT","005al00000RVcKvAAL","false","OR-000964","equal to","a0gWE000001WJ6eYAG","a0eWE000005K276YAC","a0gWE000001WJ6bYAG","a2Q3g000000TPFqEAO"
"a0dWE00000ECotRYAT","005al00000RVcKvAAL","false","OR-000965","equal to","a0gWE000001WJ6eYAG","a0eWE000005K24fYAC","a0gWE000001WJ6cYAG","a2Q3g000000TPFrEAO"
"a0dWE00000ECotSYAT","005al00000RVcKvAAL","false","OR-000966","equal to","a0gWE000001WJ6eYAG","a0eWE000005K278YAC","a0gWE000001WJ82YAG","a2Q3g000000TPFsEAO"
"a0dWE00000ECotTYAT","005al00000RVcKvAAL","false","OR-000967","equal to","a0gWE000001WJ6eYAG","a0eWE000005K277YAC","a0gWE000001WJ6dYAG","a2Q3g000000TPFtEAO"
"a0dWE00000ECotUYAT","005al00000RVcKvAAL","false","OR-000968","equal to","a0gWE000001WIyzYAG","a0eWE000005K2FbYAK","a0gWE000001WIyxYAG","a2y4S0000004IPcQAM"
"a0dWE00000ECotVYAT","005al00000RVcKvAAL","false","OR-000969","equal to","a0gWE000001WIzcYAG","a0eWE000005K2FgYAK","a0gWE000001WIz9YAG","a2y4S0000004IPdQAM"
"a0dWE00000ECotWYAT","005al00000RVcKvAAL","false","OR-000970","equal to","a0gWE000001WIzaYAG","a0eWE000005K2FuYAK","a0gWE000001WIz9YAG","a2y4S0000004IPeQAM"
"a0dWE00000ECotXYAT","005al00000RVcKvAAL","false","OR-000971","equal to","a0gWE000001WIzcYAG","a0eWE000005K2FxYAK","a0gWE000001WIzZYAW","a2y4S0000004IPfQAM"
"a0dWE00000ECotYYAT","005al00000RVcKvAAL","false","OR-000972","equal to","a0gWE000001WIzcYAG","a0eWE000005K2FvYAK","a0gWE000001WIzYYAW","a2y4S0000004IPgQAM"
"a0dWE00000ECotZYAT","005al00000RVcKvAAL","false","OR-000973","equal to","a0gWE000001WIzZYAW","a0eWE000005K2FwYAK","a0gWE000001WIzYYAW","a2y4S0000004IPhQAM"
"a0dWE00000ECotaYAD","005al00000RVcKvAAL","false","OR-000974","equal to","a0gWE000001WIzbYAG","a0eWE000005K2FyYAK","a0gWE000001WIzZYAW","a2y4S0000004IPiQAM"
"a0dWE00000ECotbYAD","005al00000RVcKvAAL","false","OR-000975","equal to","a0gWE000001WIzcYAG","a0eWE000005K2FzYAK","a0gWE000001WIzaYAG","a2y4S0000004IPjQAM"
"a0dWE00000ECotcYAD","005al00000RVcKvAAL","false","OR-000976","equal to","a0gWE000001WIzYYAW","a0eWE000005K2G0YAK","a0gWE000001WIzaYAG","a2y4S0000004IPkQAM"
"a0dWE00000ECotdYAD","005al00000RVcKvAAL","false","OR-000977","equal to","a0gWE000001WIzdYAG","a0eWE000005K2G1YAK","a0gWE000001WIzHYAW","a2y4S0000004IPlQAM"
"a0dWE00000ECoteYAD","005al00000RVcKvAAL","false","OR-000978","equal to","a0gWE000001WIzdYAG","a0eWE000005K2G2YAK","a0gWE000001WIzHYAW","a2y4S0000004IPmQAM"
"a0dWE00000ECotfYAD","005al00000RVcKvAAL","false","OR-000979","equal to","a0gWE000001WIzdYAG","a0eWE000005K2G3YAK","a0gWE000001WIzHYAW","a2y4S0000004IPnQAM"
"a0dWE00000ECotgYAD","005al00000RVcKvAAL","false","OR-000980","equal to","a0gWE000001WIzIYAW","a0eWE000005K2FmYAK","a0gWE000001WIzHYAW","a2y4S0000004IPoQAM"
"a0dWE00000ECothYAD","005al00000RVcKvAAL","false","OR-000981","equal to","a0gWE000001WIzdYAG","a0eWE000005K2G4YAK","a0gWE000001WIzIYAW","a2y4S0000004IPpQAM"
"a0dWE00000ECotiYAD","005al00000RVcKvAAL","false","OR-000982","equal to","a0gWE000001WIzJYAW","a0eWE000005K2FnYAK","a0gWE000001WIzIYAW","a2y4S0000004IPqQAM"
